Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE
16.000000	blackscholes	1	102	36.000000	5.072000	0.243000	1446561541	0	15195698	2024790	11833009	453847136	
20.500000	blackscholes	1	102	36.000000	5.064000	0.283000	1466413491	0	15130519	2053926	11726199	458924720	
19.000000	blackscholes	1	102	35.000000	5.064000	0.243000	1442464310	0	15054341	2033301	11529543	451492488	
7.000000	blackscholes	1	204	36.000000	5.056000	0.405000	1408653211	0	13252209	1807830	10968953	445452114	
9.500000	blackscholes	1	204	36.000000	5.056000	0.404000	1393451323	0	12984564	1795348	10675633	441885549	
7.000000	blackscholes	1	204	36.000000	5.064000	0.405000	1409404104	0	13178542	1796196	10793944	446070462	
5.000000	blackscholes	1	307	36.000000	5.048000	0.484000	1400304984	0	12543586	1736061	10532990	441389070	
5.500000	blackscholes	1	307	36.000000	5.056000	0.444000	1396662009	0	12692718	1744536	10655453	439452290	
5.500000	blackscholes	1	307	36.000000	5.056000	0.444000	1401863096	0	12426733	1731785	10545249	442319129	
4.000000	blackscholes	1	403	36.000000	5.056000	0.525000	1403383564	0	12321717	1696495	10445602	440972573	
5.500000	blackscholes	1	403	36.000000	5.056000	0.525000	1408659260	0	12266484	1701586	10384072	441182257	
4.500000	blackscholes	1	403	36.000000	5.048000	0.524000	1407532428	0	12253223	1685803	10518752	441307407	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1425932716	0	12109127	1688423	10228692	442944172	
3.500000	blackscholes	1	518	36.000000	5.048000	0.605000	1414548379	0	12022469	1700173	10324284	439855146	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1419648829	0	12091697	1714046	10300744	440530457	
3.000000	blackscholes	1	614	36.000000	5.048000	0.686000	1441645307	0	11981824	1666496	10447890	443160930	
4.000000	blackscholes	1	614	36.000000	5.048000	0.646000	1424387679	0	11932106	1651577	10379799	438072274	
3.500000	blackscholes	1	614	36.000000	5.048000	0.646000	1432665048	0	11859403	1685133	10299626	440651363	
3.000000	blackscholes	1	710	36.000000	5.048000	0.726000	1451098754	0	11752328	1650050	10230090	442993383	
3.500000	blackscholes	1	710	36.000000	5.048000	0.726000	1458743161	0	11874561	1649075	10295469	444632672	
3.000000	blackscholes	1	710	36.000000	5.048000	0.726000	1443172015	0	11958547	1653172	10295774	438983475	
3.000000	blackscholes	1	921	36.000000	5.040000	0.927000	1492923837	0	11733269	1666650	10360080	445128136	
3.000000	blackscholes	1	921	36.000000	5.040000	0.887000	1468849891	0	11723790	1623203	10111401	438387782	
3.000000	blackscholes	1	921	37.000000	5.040000	0.887000	1474157805	0	11690567	1633147	10094399	439232667	
3.000000	blackscholes	1	1036	36.000000	5.032000	1.006000	1477829175	0	11635342	1616099	10132932	435763252	
3.000000	blackscholes	1	1036	36.000000	5.040000	1.008000	1492662775	0	11569652	1617581	10512047	442089150	
3.000000	blackscholes	1	1036	37.000000	5.048000	0.927000	1469985419	0	11615710	1630874	10069198	433963070	
3.500000	blackscholes	1	1132	36.000000	5.040000	1.008000	1483596936	0	11582861	1621251	10113712	435605541	
3.000000	blackscholes	1	1132	37.000000	5.040000	0.927000	1494419330	0	11695576	1638112	10238556	437824491	
3.000000	blackscholes	1	1132	36.000000	5.040000	0.927000	1503829575	0	11731145	1623690	10300562	440978725	
3.000000	blackscholes	1	1224	37.000000	5.040000	1.088000	1510879103	0	11627964	1629511	10265246	439767005	
2.500000	blackscholes	1	1224	37.000000	5.040000	1.088000	1519198040	0	11583246	1640602	10156270	442550513	
2.500000	blackscholes	1	1224	37.000000	5.040000	1.128000	1511411154	0	11599784	1630662	10164746	440235629	
3.000000	blackscholes	1	1428	37.000000	5.040000	1.288000	1529316392	0	11560455	1604806	9986899	437627631	
3.000000	blackscholes	1	1428	37.000000	5.032000	1.366000	1531230105	0	11629611	1610514	10128849	437275595	
3.000000	blackscholes	1	1428	37.000000	5.024000	1.328000	1534016828	0	11540994	1617199	10197095	436171188	
3.000000	blackscholes	1	1479	37.000000	5.032000	1.449000	1536537799	0	11573171	1623967	10023204	436706145	
2.500000	blackscholes	1	1479	37.000000	5.032000	1.408000	1536722765	0	11477214	1607221	10072325	437253401	
2.500000	blackscholes	1	1479	37.000000	5.032000	1.449000	1541204852	0	11557695	1633201	10071350	437465755	
20.500000	bodytrack	1	102	36.000000	5.072000	0.243000	1689531979	0	16006826	2113013	12626156	545848668	
13.500000	bodytrack	1	102	36.000000	5.072000	0.243000	1684154905	0	15882561	2083931	12723908	544149658	
15.500000	bodytrack	1	102	36.000000	5.072000	0.243000	1686337315	0	15896907	2103284	12439399	545193637	
6.500000	bodytrack	1	204	36.000000	5.064000	0.324000	1635144807	0	13925651	1854528	11676547	532486226	
10.500000	bodytrack	1	204	36.000000	5.064000	0.324000	1650372037	0	13875329	1853875	11897246	538516485	
7.000000	bodytrack	1	204	35.000000	5.064000	0.324000	1633205260	0	13850876	1841769	11777525	532832876	
5.000000	bodytrack	1	307	36.000000	5.056000	0.364000	1635698744	0	13339004	1799777	11532856	530713551	
5.500000	bodytrack	1	307	36.000000	5.064000	0.364000	1648659785	0	13384713	1794460	11572089	535393350	
5.000000	bodytrack	1	307	36.000000	5.064000	0.364000	1634118472	0	13319755	1790755	11495965	530597188	
4.500000	bodytrack	1	403	35.000000	5.064000	0.405000	1642687831	0	13101261	1734837	11304481	530327460	
5.000000	bodytrack	1	403	35.000000	5.064000	0.405000	1641936132	0	13075881	1737842	11226025	532412079	
5.000000	bodytrack	1	403	35.000000	5.064000	0.445000	1642211450	0	12954506	1730189	11243266	530795630	
4.000000	bodytrack	1	518	36.000000	5.064000	0.486000	1648397890	0	12739384	1727887	11171051	527440238	
4.500000	bodytrack	1	518	36.000000	5.064000	0.486000	1655561119	0	12813731	1715498	11322569	529710527	
4.000000	bodytrack	1	518	35.000000	5.064000	0.486000	1653075373	0	12754422	1716838	11232036	528397823	
4.000000	bodytrack	1	614	36.000000	5.064000	0.567000	1658488528	0	12645881	1693845	11153867	527096611	
3.500000	bodytrack	1	614	36.000000	5.064000	0.526000	1668468785	0	12649560	1707455	11329971	528973500	
3.500000	bodytrack	1	614	36.000000	5.064000	0.526000	1663361557	0	12629601	1688848	11177219	528188087	
3.500000	bodytrack	1	710	36.000000	5.056000	0.566000	1678758299	0	12570180	1686408	11228133	528058630	
3.000000	bodytrack	1	710	36.000000	5.056000	0.566000	1672482916	0	12551560	1675348	10914689	526560640	
3.000000	bodytrack	1	710	36.000000	5.056000	0.606000	1686016909	0	12561248	1718569	11141391	530404340	
3.000000	bodytrack	1	921	36.000000	5.048000	0.726000	1706192997	0	12330501	1657073	11021790	525813396	
3.000000	bodytrack	1	921	36.000000	5.040000	0.725000	1725346657	0	12356935	1669890	11033752	532521714	
3.000000	bodytrack	1	921	36.000000	5.056000	0.726000	1723238241	0	12377741	1664536	11244104	531995207	
2.500000	bodytrack	1	1036	36.000000	5.048000	0.807000	1726317088	0	12401481	1655078	11117790	526794944	
3.000000	bodytrack	1	1036	36.000000	5.040000	0.846000	1728695046	0	12370522	1650885	11064230	528059648	
3.000000	bodytrack	1	1036	37.000000	5.048000	0.848000	1724080900	0	12464443	1669432	10949367	527114890	
3.000000	bodytrack	1	1132	37.000000	5.048000	0.848000	1741580424	0	12350178	1690756	11034137	529060731	
3.000000	bodytrack	1	1132	36.000000	5.048000	0.888000	1725366774	0	12398824	1660902	10928030	524688802	
3.000000	bodytrack	1	1132	37.000000	5.040000	0.887000	1728053579	0	12375985	1675058	10838193	525965714	
2.500000	bodytrack	1	1224	37.000000	5.040000	1.009000	1745588615	0	12252578	1680945	10988159	526700285	
3.000000	bodytrack	1	1224	37.000000	5.040000	0.967000	1747047350	0	12426737	1664402	11068966	526494540	
3.000000	bodytrack	1	1224	37.000000	5.048000	0.928000	1759630329	0	12309190	1661304	11102939	530240431	
2.500000	bodytrack	1	1428	36.000000	5.040000	1.209000	1782481629	0	12231727	1650641	11034108	527622938	
3.000000	bodytrack	1	1428	38.000000	5.024000	1.245000	1772741301	0	12287014	1641543	11131692	525889484	
2.500000	bodytrack	1	1428	38.000000	5.032000	1.207000	1774642983	0	12236945	1647960	10979841	525897947	
2.500000	bodytrack	1	1479	38.000000	5.032000	1.288000	1775807288	0	12157654	1644509	11010314	522804773	
3.000000	bodytrack	1	1479	37.000000	5.032000	1.288000	1790600234	0	12244126	1651214	10957324	527356949	
2.500000	bodytrack	1	1479	37.000000	5.032000	1.328000	1781020558	0	12215650	1649491	11049389	525874110	
18.000000	dedup	1	102	36.000000	5.072000	0.243000	1466668219	0	15158701	2032717	11937273	461666141	
12.500000	dedup	1	102	36.000000	5.072000	0.243000	1454094210	0	15072468	2030103	11800899	456868282	
29.000000	dedup	1	102	36.000000	5.064000	0.283000	1451362557	0	15089561	2029300	11653010	457176212	
6.500000	dedup	1	204	36.000000	5.064000	0.364000	1424097942	0	13284572	1820770	11028797	452934097	
8.000000	dedup	1	204	36.000000	5.056000	0.364000	1418579345	0	13259487	1821945	11033888	450798856	
10.000000	dedup	1	204	36.000000	5.056000	0.364000	1429780901	0	13328864	1824779	11171242	453738665	
5.000000	dedup	1	307	36.000000	5.048000	0.444000	1409908642	0	12656894	1742929	11000186	446230597	
5.500000	dedup	1	307	36.000000	5.056000	0.485000	1418750633	0	12629644	1738677	10817537	449390034	
5.500000	dedup	1	307	36.000000	5.056000	0.444000	1414187497	0	12774639	1751028	10858970	446719211	
4.500000	dedup	1	403	36.000000	5.056000	0.524000	1410935882	0	12351141	1715275	10620420	444344715	
6.500000	dedup	1	403	36.000000	5.048000	0.525000	1421702155	0	12297617	1705859	10743343	447156981	
5.000000	dedup	1	403	36.000000	5.056000	0.525000	1419548423	0	12242577	1699036	10643215	445540060	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1435307781	0	12226517	1703569	10626417	445902970	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1422745669	0	12152939	1694076	10489947	442675982	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1417757917	0	12112334	1666677	10422497	441628455	
4.000000	dedup	1	614	36.000000	5.048000	0.686000	1439374701	0	11932895	1664726	10513140	444293032	
3.500000	dedup	1	614	36.000000	5.048000	0.686000	1456193818	0	11984897	1666466	10665603	448887083	
4.000000	dedup	1	614	36.000000	5.048000	0.686000	1437373288	0	11950824	1672450	10520554	442498995	
3.000000	dedup	1	710	36.000000	5.048000	0.726000	1451388656	0	11885085	1666499	10406527	443747444	
3.000000	dedup	1	710	36.000000	5.040000	0.726000	1467088764	0	11981179	1666583	10558495	447912997	
3.500000	dedup	1	710	36.000000	5.048000	0.726000	1448821384	0	11871423	1657922	10480799	442006054	
3.000000	dedup	1	921	36.000000	5.040000	0.887000	1487022281	0	11771437	1646223	10377262	444470042	
2.500000	dedup	1	921	36.000000	5.040000	0.846000	1486741099	0	11840147	1638644	10483478	444853512	
3.000000	dedup	1	921	36.000000	5.040000	0.846000	1498795336	0	11788897	1646077	10436400	448610956	
3.000000	dedup	1	1036	37.000000	5.040000	0.967000	1501958163	0	11674875	1654657	10373129	444239409	
3.000000	dedup	1	1036	37.000000	5.040000	0.967000	1517939263	0	11740513	1645979	10657110	448784747	
3.000000	dedup	1	1036	36.000000	5.040000	0.967000	1509122782	0	11731111	1675295	10368120	445653437	
3.000000	dedup	1	1132	36.000000	5.032000	1.008000	1515781695	0	11733982	1668298	10483524	446078006	
2.500000	dedup	1	1132	37.000000	5.040000	1.008000	1521846695	0	11731865	1641124	10558365	448102834	
3.500000	dedup	1	1132	37.000000	5.040000	0.967000	1509187871	0	11695161	1640509	10555498	444063750	
2.500000	dedup	1	1224	37.000000	5.024000	1.085000	1515937183	0	11629755	1652248	10432495	441819635	
2.500000	dedup	1	1224	37.000000	5.024000	1.165000	1529333227	0	11693144	1631063	10352152	446585154	
3.500000	dedup	1	1224	37.000000	5.032000	1.046000	1519035017	0	11633767	1628893	10248925	442325209	
2.500000	dedup	1	1428	38.000000	5.024000	1.406000	1548121564	0	11679593	1637951	10358493	441645975	
2.500000	dedup	1	1428	37.000000	5.024000	1.406000	1533505172	0	11550628	1622024	10343488	438453671	
2.500000	dedup	1	1428	38.000000	5.024000	1.366000	1543966143	0	11679687	1625631	10342247	441876257	
3.000000	dedup	1	1479	37.000000	5.024000	1.487000	1563913020	0	11674377	1636057	10404572	444685125	
2.500000	dedup	1	1479	37.000000	5.024000	1.406000	1552694358	0	11533908	1639558	10269305	440452587	
2.500000	dedup	1	1479	37.000000	5.024000	1.487000	1548926203	0	11534636	1613926	10290385	441068867	
14.500000	ferret	1	102	36.000000	5.072000	0.243000	1478323831	0	15070780	2011844	11865077	466079462	
14.500000	ferret	1	102	36.000000	5.072000	0.243000	1463154849	0	15023314	2017805	11762116	460286852	
15.000000	ferret	1	102	36.000000	5.072000	0.243000	1462982269	0	15176539	2040977	11745503	459035773	
7.000000	ferret	1	204	36.000000	5.072000	0.324000	1429175537	0	13252989	1840517	11017880	452733422	
9.500000	ferret	1	204	36.000000	5.064000	0.405000	1431605802	0	13316331	1813012	11080910	451651305	
7.000000	ferret	1	204	36.000000	5.072000	0.324000	1445225834	0	13320489	1830594	11117102	451925621	
6.500000	ferret	1	307	36.000000	5.072000	0.364000	1426971297	0	12839359	1743931	10778013	450888529	
5.000000	ferret	1	307	36.000000	5.064000	0.364000	1441669598	0	12700582	1770817	10867488	454761088	
5.000000	ferret	1	307	36.000000	5.072000	0.365000	1419950033	0	12725762	1749332	10855849	448075300	
4.500000	ferret	1	403	36.000000	5.072000	0.405000	1435930792	0	12535051	1707011	10525593	449600084	
5.500000	ferret	1	403	36.000000	5.072000	0.365000	1437204683	0	12516417	1715374	10771676	449876749	
4.500000	ferret	1	403	36.000000	5.072000	0.405000	1427592221	0	12498595	1720079	10689441	446227205	
4.500000	ferret	1	518	36.000000	5.072000	0.446000	1449322425	0	12251432	1686446	10639997	448585268	
4.000000	ferret	1	518	36.000000	5.072000	0.446000	1446751080	0	12235041	1676995	10526223	448065345	
4.000000	ferret	1	518	36.000000	5.072000	0.446000	1452889770	0	12170645	1691257	10589504	450567151	
3.500000	ferret	1	614	36.000000	5.072000	0.486000	1463600372	0	12139236	1687953	10505383	449137268	
3.500000	ferret	1	614	36.000000	5.072000	0.486000	1452479223	0	11938998	1661726	10743770	445087730	
3.500000	ferret	1	614	36.000000	5.072000	0.486000	1455208693	0	12048247	1667727	10624284	446053006	
3.500000	ferret	1	710	36.000000	5.072000	0.486000	1479984772	0	12013437	1668270	10550555	450529116	
3.500000	ferret	1	710	36.000000	5.072000	0.486000	1473899093	0	11949340	1658875	10461012	449299254	
3.000000	ferret	1	710	36.000000	5.064000	0.486000	1469649395	0	11948568	1663361	10477963	446089980	
