Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC
26.000000	blackscholes	1	102	35.000000	5.072000	0.243000	1439941219	31811	257202919	194340849	942784	66316	
18.000000	blackscholes	1	102	35.000000	5.064000	0.243000	1455086378	31170	259816232	196000207	1056285	66646	
22.000000	blackscholes	1	102	35.000000	5.064000	0.283000	1460060825	31572	261647331	197482717	1168373	67264	
8.000000	blackscholes	1	204	35.000000	5.056000	0.404000	1426738766	15751	257670901	194302433	1157296	67430	
6.000000	blackscholes	1	204	35.000000	5.056000	0.404000	1402525353	14774	254199336	191784490	1288727	66162	
8.000000	blackscholes	1	204	35.000000	5.056000	0.404000	1416353858	17282	254785802	192258355	1291624	65863	
4.000000	blackscholes	1	307	35.000000	5.056000	0.444000	1411588374	11649	253827091	191437972	931267	67348	
6.000000	blackscholes	1	307	35.000000	5.056000	0.444000	1404074524	10911	252820356	190733269	1154220	66605	
6.000000	blackscholes	1	307	35.000000	5.056000	0.444000	1403863925	11569	252403939	190574246	1156557	66717	
4.000000	blackscholes	1	403	35.000000	5.056000	0.525000	1407808843	8508	252384212	190359756	932442	66617	
4.000000	blackscholes	1	403	35.000000	5.056000	0.525000	1397932915	8740	249652001	188477121	1156302	65374	
4.000000	blackscholes	1	403	35.000000	5.056000	0.525000	1411474684	9526	252222959	190186186	1041620	66202	
6.000000	blackscholes	1	518	35.000000	5.048000	0.605000	1414026100	6622	250353510	188816381	927930	66378	
6.000000	blackscholes	1	518	35.000000	5.048000	0.605000	1410026965	6606	249883098	188503179	928614	65366	
2.000000	blackscholes	1	518	35.000000	5.048000	0.605000	1418521120	6331	251464140	189793873	928960	66244	
4.000000	blackscholes	1	614	35.000000	5.048000	0.646000	1428687772	5795	250435478	189010165	1281559	65563	
4.000000	blackscholes	1	614	35.000000	5.048000	0.686000	1434741688	5719	251834815	189774182	1280369	66544	
2.000000	blackscholes	1	614	35.000000	5.048000	0.686000	1429645143	5722	250993186	189434863	1041194	65719	
4.000000	blackscholes	1	710	35.000000	5.048000	0.726000	1431705601	5257	248683767	188114446	928435	66163	
4.000000	blackscholes	1	710	35.000000	5.048000	0.726000	1442261733	5347	250415164	188766245	1155328	66867	
4.000000	blackscholes	1	710	35.000000	5.048000	0.726000	1434130165	5059	249255963	188307122	1035312	66196	
2.000000	blackscholes	1	921	35.000000	5.040000	0.846000	1463478667	4309	248991511	187830587	929942	65601	
2.000000	blackscholes	1	921	36.000000	5.040000	0.806000	1473511099	5195	250525469	189028015	928322	66228	
2.000000	blackscholes	1	921	35.000000	5.040000	0.927000	1474818054	4498	251385638	189548143	1282666	65861	
2.000000	blackscholes	1	1036	35.000000	5.040000	0.927000	1489771237	4074	250047167	188742437	1285732	66006	
4.000000	blackscholes	1	1036	35.000000	5.048000	0.967000	1491115541	3792	250644217	189005061	1039287	65593	
4.000000	blackscholes	1	1036	35.000000	5.048000	0.888000	1481235950	3720	248916249	187785976	1147674	65806	
4.000000	blackscholes	1	1132	36.000000	5.040000	0.967000	1476964934	3931	247917458	187158490	932112	65959	
4.000000	blackscholes	1	1132	36.000000	5.040000	0.967000	1496215963	3813	251448382	189662975	1039329	66406	
4.000000	blackscholes	1	1132	36.000000	5.040000	0.927000	1493091418	4099	249910147	188592740	930107	66171	
4.000000	blackscholes	1	1224	36.000000	5.040000	1.088000	1510264229	4165	250148219	188709765	1037681	65926	
2.000000	blackscholes	1	1224	36.000000	5.040000	1.048000	1508826311	3657	250314305	188963879	1038709	66443	
4.000000	blackscholes	1	1224	36.000000	5.040000	1.128000	1499905460	3881	249205614	187969935	1033709	65409	
2.000000	blackscholes	1	1428	36.000000	5.032000	1.368000	1542927117	3221	251375665	189578722	933402	67190	
2.000000	blackscholes	1	1428	36.000000	5.032000	1.368000	1536095457	3408	250654133	189112842	1153867	67167	
2.000000	blackscholes	1	1428	36.000000	5.032000	1.368000	1536958800	3585	250130619	188606559	1035055	65994	
