Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC
17.625000	blackscholes	1	102	35.000000	5.072000	0.243000	1434764537	1366225	3733879	3663561	226	300393586	
18.125000	blackscholes	1	102	35.000000	5.072000	0.243000	1442353009	1012019	3766599	3695629	210	301480617	
16.625000	blackscholes	1	102	35.000000	5.072000	0.243000	1449862605	1236846	3824161	3754720	198	302945622	
6.625000	blackscholes	1	204	35.000000	5.064000	0.364000	1415292144	1004697	3821382	3761366	155	298003910	
9.875000	blackscholes	1	204	35.000000	5.064000	0.364000	1411298680	1357032	3801653	3741145	126	297180959	
10.625000	blackscholes	1	204	35.000000	5.056000	0.404000	1408005303	1350968	3764168	3704636	187	296050033	
5.000000	blackscholes	1	307	35.000000	5.056000	0.485000	1402264037	1223830	3721826	3665123	195	293798686	
5.250000	blackscholes	1	307	35.000000	5.056000	0.444000	1399157903	1222999	3692546	3635177	153	292736524	
5.000000	blackscholes	1	307	35.000000	5.056000	0.444000	1406751121	1104911	3756555	3699417	175	294443626	
5.000000	blackscholes	1	403	35.000000	5.056000	0.525000	1389056110	1348729	3632997	3577200	131	289523339	
4.375000	blackscholes	1	403	35.000000	5.056000	0.525000	1412706865	1106507	3773075	3717371	139	294203083	
4.875000	blackscholes	1	403	35.000000	5.056000	0.525000	1410860679	1107162	3778313	3722082	126	293538395	
3.875000	blackscholes	1	518	34.000000	5.056000	0.606000	1427565837	1352325	3797125	3741768	128	293475888	
4.250000	blackscholes	1	518	35.000000	5.056000	0.606000	1416650925	1103146	3747574	3693011	150	292148177	
4.250000	blackscholes	1	518	35.000000	5.056000	0.606000	1418438816	1107241	3753082	3698628	149	292573578	
3.500000	blackscholes	1	614	35.000000	5.048000	0.686000	1423924545	1352264	3718229	3663241	146	291144416	
3.500000	blackscholes	1	614	35.000000	5.048000	0.686000	1428809391	1350722	3734010	3679764	130	291098977	
