Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ST_SPEC	LDST_SPEC	DP_SPEC	ASE_SPEC	VFP_SPEC
13.500000	blackscholes	1	102	34.000000	5.072000	0.243000	1457564292	151510824	457432251	658913572	2090209	51479	
21.000000	blackscholes	1	102	34.000000	5.064000	0.243000	1453006672	150794035	454722855	654798848	2071534	52068	
17.750000	blackscholes	1	102	34.000000	5.072000	0.243000	1437075694	149295139	450763295	649014522	2079842	51579	
11.000000	blackscholes	1	204	34.000000	5.056000	0.364000	1398428533	146030211	440453703	633804743	2074025	51498	
7.500000	blackscholes	1	204	34.000000	5.056000	0.404000	1410173144	147665903	445349353	641641738	2077334	51533	
7.500000	blackscholes	1	204	34.000000	5.056000	0.364000	1417937517	148026714	446783988	644425997	2089095	51541	
5.000000	blackscholes	1	307	34.000000	5.056000	0.444000	1403430095	146099434	440356495	634243622	2070400	51403	
5.250000	blackscholes	1	307	34.000000	5.056000	0.444000	1400431902	145631114	438908428	631900095	2091375	51919	
5.000000	blackscholes	1	307	34.000000	5.056000	0.444000	1407112033	146526741	441732676	636304274	2080069	51616	
4.750000	blackscholes	1	403	34.000000	5.056000	0.525000	1418416594	146936886	443454458	639264426	2080870	53518	
4.250000	blackscholes	1	403	34.000000	5.056000	0.525000	1416818550	146389723	441194536	635569458	2098031	51420	
4.250000	blackscholes	1	403	34.000000	5.056000	0.525000	1413030710	145881930	439483342	633480969	2090422	51386	
4.000000	blackscholes	1	518	34.000000	5.056000	0.606000	1419595853	145271451	438056993	631314977	2068784	51455	
3.750000	blackscholes	1	518	34.000000	5.056000	0.605000	1418745150	145475086	438390558	631634241	2067067	51506	
3.750000	blackscholes	1	518	34.000000	5.048000	0.605000	1413957376	144858587	436502081	628267524	2072961	51427	
3.500000	blackscholes	1	614	35.000000	5.048000	0.686000	1435619088	145407480	438403822	631783976	2074268	51580	
3.500000	blackscholes	1	614	34.000000	5.048000	0.646000	1426967476	144914092	436806678	628724598	2078346	51439	
3.500000	blackscholes	1	614	34.000000	5.048000	0.646000	1426962300	144712589	436210012	627870883	2087317	51535	
3.250000	blackscholes	1	710	35.000000	5.048000	0.767000	1430691056	143835555	433303404	623574477	2063891	51549	
4.000000	blackscholes	1	710	34.000000	5.048000	0.726000	1449126301	145423211	438133046	631182883	2094990	51538	
3.250000	blackscholes	1	710	34.000000	5.048000	0.687000	1444555201	145210764	437530763	630115030	2174107	51586	
3.000000	blackscholes	1	921	34.000000	5.048000	0.848000	1463589133	144080026	434278483	625346271	2187008	51672	
3.000000	blackscholes	1	921	35.000000	5.048000	0.888000	1465849911	144298258	434723598	625928817	2098311	53580	
3.000000	blackscholes	1	921	35.000000	5.040000	0.927000	1473631331	144894765	436842039	629507151	2172047	51569	
2.750000	blackscholes	1	1036	35.000000	5.048000	0.967000	1494471797	145490770	438127186	630993777	2069219	51370	
3.500000	blackscholes	1	1036	35.000000	5.040000	0.927000	1475571443	143594937	432667348	622502937	2112950	51410	
2.750000	blackscholes	1	1036	35.000000	5.048000	0.969000	1490222655	145248850	437847845	631224156	2082900	51581	
3.250000	blackscholes	1	1132	35.000000	5.048000	0.969000	1479283695	143522705	432332816	622149985	2103301	51603	
2.750000	blackscholes	1	1132	35.000000	5.048000	0.969000	1485522913	144028917	434038508	624592373	2088082	51416	
2.750000	blackscholes	1	1132	35.000000	5.048000	0.928000	1503456186	145356528	438318443	631867854	2088276	51556	
2.500000	blackscholes	1	1224	35.000000	5.040000	1.048000	1501424069	143848167	433428271	624173390	2178418	51492	
3.500000	blackscholes	1	1224	35.000000	5.040000	1.088000	1494267084	143396574	431798760	621599523	2064752	51524	
3.000000	blackscholes	1	1224	35.000000	5.040000	1.128000	1505220725	144731507	435799159	627513145	2162173	51398	
2.500000	blackscholes	1	1428	36.000000	5.040000	1.330000	1540812558	145254187	437856897	631013165	2083041	51454	
2.750000	blackscholes	1	1428	35.000000	5.040000	1.370000	1534703091	144561722	435653484	627946549	2083892	53531	
2.500000	blackscholes	1	1428	35.000000	5.040000	1.370000	1529070503	143977424	434161301	625010768	2092066	51414	
2.750000	blackscholes	1	1479	36.000000	5.032000	1.449000	1533362762	143732272	432776111	623149510	2089473	51480	
2.500000	blackscholes	1	1479	36.000000	5.032000	1.449000	1541259297	144230954	434527473	626043239	2070027	51435	
2.750000	blackscholes	1	1479	36.000000	5.032000	1.449000	1541842783	144034728	434191556	625331131	2187810	51397	
14.750000	bodytrack	1	102	34.000000	5.072000	0.243000	1684679493	165735285	545270622	787341563	4552716	81918118	
20.000000	bodytrack	1	102	34.000000	5.072000	0.243000	1676235959	164420570	540835155	780315411	4563549	81916968	
18.500000	bodytrack	1	102	34.000000	5.072000	0.243000	1687223697	165697607	545050473	787189454	4562264	81917577	
6.750000	bodytrack	1	204	34.000000	5.072000	0.324000	1639996867	161542855	532619014	768946233	4542074	81909898	
7.750000	bodytrack	1	204	34.000000	5.064000	0.324000	1641829723	161932280	533224989	769976128	4539870	81910292	
7.000000	bodytrack	1	204	34.000000	5.072000	0.324000	1638569302	161663744	532450100	768367014	4555354	81911944	
5.750000	bodytrack	1	307	34.000000	5.064000	0.364000	1641242002	161201924	531318758	767359626	4545023	81908146	
5.250000	bodytrack	1	307	34.000000	5.072000	0.364000	1635920210	160386115	528507762	763409136	4517723	81906103	
5.250000	bodytrack	1	307	34.000000	5.072000	0.364000	1640856356	161022528	530690963	766687628	4563236	81910042	
4.500000	bodytrack	1	403	34.000000	5.064000	0.405000	1655218969	161329343	531576211	768091765	4556518	81905489	
4.500000	bodytrack	1	403	34.000000	5.072000	0.405000	1658023387	162309704	534260027	772644845	4556752	81907547	
4.500000	bodytrack	1	403	34.000000	5.064000	0.445000	1640343487	159835739	526917907	760929394	4554381	81909959	
4.000000	bodytrack	1	518	34.000000	5.064000	0.445000	1645969932	159337597	525004433	757768960	4630884	81905977	
4.000000	bodytrack	1	518	34.000000	5.064000	0.486000	1661666140	160472053	528846710	763906615	4640984	81907529	
5.250000	bodytrack	1	518	34.000000	5.064000	0.486000	1660126317	160256763	528325568	763178823	4554529	81905033	
3.250000	bodytrack	1	614	34.000000	5.064000	0.526000	1664895801	159420302	525263439	758360204	4531599	81906425	
3.250000	bodytrack	1	614	34.000000	5.064000	0.526000	1687209686	161679624	532541807	769907331	4536290	81905455	
3.750000	bodytrack	1	614	35.000000	5.064000	0.526000	1679359754	160592003	529208432	764761110	4534006	81904000	
3.000000	bodytrack	1	710	34.000000	5.064000	0.567000	1689206182	160330653	528376844	763195403	4549885	81905418	
3.250000	bodytrack	1	710	34.000000	5.064000	0.567000	1681570273	159943109	526596840	760509791	4537935	81907211	
3.250000	bodytrack	1	710	34.000000	5.064000	0.567000	1695337164	160671438	529632062	766070531	4568046	81906089	
3.000000	bodytrack	1	921	35.000000	5.056000	0.728000	1706332127	158973746	523760287	756198610	4555558	81903620	
3.000000	bodytrack	1	921	35.000000	5.056000	0.728000	1707421599	158937745	523499453	755682280	4534073	81904497	
2.750000	bodytrack	1	921	34.000000	5.056000	0.728000	1712151908	159409888	525158884	758355156	4553280	81906006	
