Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	PC_WRITE_SPEC	CRYPTO_SPEC	BR_IMMED_SPEC	BR_RETURN_SPEC	BR_INDIRECT_SPEC
22.000000	blackscholes	1	102	33.000000	5.072000	0.202000	1453611352	232737642	0	202739045	25129615	29962717	
14.000000	blackscholes	1	102	33.000000	5.072000	0.243000	1450752436	232836899	0	202826024	25155987	29974995	
14.500000	blackscholes	1	102	33.000000	5.072000	0.243000	1437611716	230907888	0	201247912	24815135	29624099	
7.500000	blackscholes	1	204	33.000000	5.064000	0.364000	1405188957	227448607	0	198328432	24324431	29084316	
12.000000	blackscholes	1	204	33.000000	5.064000	0.364000	1406997095	229270636	0	199891923	24576789	29342833	
7.000000	blackscholes	1	204	33.000000	5.064000	0.364000	1401637522	227079072	0	198034045	24249781	29009149	
5.000000	blackscholes	1	307	33.000000	5.056000	0.485000	1396994341	226664445	0	197683933	24205312	28944656	
5.000000	blackscholes	1	307	33.000000	5.056000	0.444000	1409490289	228169404	0	198940568	24450086	29192978	
5.000000	blackscholes	1	307	33.000000	5.056000	0.444000	1405484302	227587121	0	198504964	24304937	29046286	
4.500000	blackscholes	1	403	33.000000	5.056000	0.525000	1398622633	225960177	0	197137831	24056057	28786476	
4.500000	blackscholes	1	403	33.000000	5.056000	0.525000	1400048044	224670199	0	196066439	23835621	28567892	
4.000000	blackscholes	1	403	33.000000	5.056000	0.525000	1416265721	228225317	0	199029028	24423759	29160398	
3.500000	blackscholes	1	518	33.000000	5.056000	0.606000	1434384928	229386992	0	200000281	24621662	29350840	
4.000000	blackscholes	1	518	33.000000	5.056000	0.606000	1417488264	227140556	0	198099704	24274495	29004994	
5.000000	blackscholes	1	518	33.000000	5.056000	0.606000	1420847593	227258151	0	198209106	24283059	29013181	
4.000000	blackscholes	1	614	33.000000	5.048000	0.687000	1417258122	224381057	0	195807402	23816220	28537788	
3.500000	blackscholes	1	614	33.000000	5.056000	0.647000	1424185690	224614874	0	195971342	23883848	28607656	
3.500000	blackscholes	1	614	33.000000	5.048000	0.646000	1429650735	225938070	0	197098647	24083050	28803552	
4.000000	blackscholes	1	710	33.000000	5.048000	0.726000	1453493014	227925263	0	198663344	24499379	29226056	
4.000000	blackscholes	1	710	33.000000	5.048000	0.726000	1425138512	223015908	0	194618303	23645255	28361747	
3.500000	blackscholes	1	710	33.000000	5.048000	0.726000	1446103897	226838255	0	197861508	24220555	28940882	
3.000000	blackscholes	1	921	33.000000	5.048000	0.848000	1474068490	226321720	0	197384487	24183756	28901360	
3.500000	blackscholes	1	921	33.000000	5.048000	0.848000	1460553206	223912824	0	195346293	23819192	28530663	
3.000000	blackscholes	1	921	33.000000	5.040000	0.846000	1481954414	228431056	0	199148529	24527057	29246657	
3.000000	blackscholes	1	1036	33.000000	5.048000	0.928000	1466120537	222798790	0	194446743	23605669	28316179	
3.000000	blackscholes	1	1036	34.000000	5.040000	0.846000	1485802604	225969192	0	197109234	24111528	28824089	
3.500000	blackscholes	1	1036	33.000000	5.048000	0.969000	1482042786	225028910	0	196357612	23925543	28635426	
3.000000	blackscholes	1	1132	33.000000	5.040000	0.927000	1474294398	222849143	0	194529677	23572922	28283607	
3.000000	blackscholes	1	1132	33.000000	5.048000	0.888000	1475674295	222865431	0	194480027	23634840	28349536	
3.000000	blackscholes	1	1132	34.000000	5.048000	0.927000	1475510217	222966770	0	194576608	23642534	28354304	
3.000000	blackscholes	1	1224	34.000000	5.040000	1.088000	1506635178	225728074	0	196934495	24044132	28757717	
3.000000	blackscholes	1	1224	34.000000	5.040000	1.048000	1502243295	224672373	0	196069212	23853647	28567290	
3.500000	blackscholes	1	1224	34.000000	5.040000	1.088000	1517929824	228165306	0	198937020	24470946	29192417	
3.000000	blackscholes	1	1428	34.000000	5.032000	1.207000	1530949239	224954267	0	196228813	23978018	28689585	
2.500000	blackscholes	1	1428	34.000000	5.040000	1.330000	1531291885	225422960	0	196620796	24051718	28766294	
3.000000	blackscholes	1	1428	35.000000	5.040000	1.368000	1532647134	225855449	0	197033230	24068966	28786351	
3.500000	blackscholes	1	1479	35.000000	5.032000	1.449000	1528189735	223241491	0	194814362	23680187	28391261	
2.500000	blackscholes	1	1479	34.000000	5.032000	1.408000	1530759173	222668368	0	194347675	23576446	28284824	
3.500000	blackscholes	1	1479	34.000000	5.032000	1.408000	1534569131	224366821	0	195793063	23825816	28537885	
19.500000	bodytrack	1	102	33.000000	5.072000	0.243000	1682603226	276726455	0	245920661	25856916	30767530	
17.500000	bodytrack	1	102	33.000000	5.072000	0.243000	1694166958	279228090	0	247991498	26285336	31198342	
19.500000	bodytrack	1	102	33.000000	5.072000	0.243000	1668558407	274533492	0	244087994	25497905	30407241	
7.000000	bodytrack	1	204	33.000000	5.072000	0.324000	1642188005	273087356	0	242940560	25256502	30108547	
7.500000	bodytrack	1	204	33.000000	5.072000	0.324000	1646598919	273358336	0	243114218	25352977	30205889	
6.500000	bodytrack	1	204	33.000000	5.072000	0.324000	1639208872	273225576	0	242984338	25352676	30202984	
5.000000	bodytrack	1	307	33.000000	5.072000	0.365000	1631869446	270597367	0	240855344	24871178	29703806	
5.500000	bodytrack	1	307	33.000000	5.064000	0.364000	1640536929	271613817	0	241695151	25051660	29880432	
5.500000	bodytrack	1	307	33.000000	5.064000	0.364000	1643068887	272954213	0	242833745	25257671	30082232	
4.500000	bodytrack	1	403	33.000000	5.064000	0.405000	1640649161	270376217	0	240654213	24868124	29683798	
4.500000	bodytrack	1	403	33.000000	5.064000	0.405000	1647435842	273222857	0	243030437	25334330	30154196	
4.500000	bodytrack	1	403	33.000000	5.064000	0.405000	1648209009	272488708	0	242440972	25188573	30009511	
5.000000	bodytrack	1	518	33.000000	5.064000	0.486000	1668929604	273709471	0	243422693	25427702	30248562	
5.000000	bodytrack	1	518	33.000000	5.064000	0.486000	1660728932	271639010	0	241663233	25121393	29937557	
4.000000	bodytrack	1	518	33.000000	5.064000	0.445000	1655809322	271029100	0	241208092	24972515	29782803	
3.500000	bodytrack	1	614	33.000000	5.064000	0.526000	1665835162	270569596	0	240781535	24942355	29749863	
3.500000	bodytrack	1	614	33.000000	5.064000	0.526000	1650634781	267798046	0	238491612	24463681	29268236	
3.000000	bodytrack	1	614	33.000000	5.064000	0.526000	1656559711	268677601	0	239265753	24570799	29373628	
3.000000	bodytrack	1	710	33.000000	5.064000	0.567000	1677786827	269959442	0	240323083	24793640	29598160	
3.000000	bodytrack	1	710	34.000000	5.064000	0.567000	1670948247	268337963	0	238967467	24528669	29332269	
3.500000	bodytrack	1	710	33.000000	5.064000	0.567000	1665618851	268071252	0	238736677	24493476	29296363	
3.000000	bodytrack	1	921	33.000000	5.056000	0.728000	1699773354	268099049	0	238784596	24477435	29276257	
