Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_UNDEF	EXC_SVC
24.500000	blackscholes	1	102	32.000000	5.072000	0.243000	1435511560	1873782	167331	3340626	0	35541	
14.500000	blackscholes	1	102	31.000000	5.072000	0.243000	1444123000	1876523	168463	3443261	0	35541	
13.000000	blackscholes	1	102	32.000000	5.072000	0.243000	1431800491	1870835	167325	3383214	0	35527	
8.000000	blackscholes	1	204	32.000000	5.064000	0.364000	1408439125	1857704	163805	3445441	0	35541	
7.500000	blackscholes	1	204	32.000000	5.064000	0.364000	1395218623	1848966	161979	3331792	0	35541	
7.000000	blackscholes	1	204	32.000000	5.064000	0.364000	1405338737	1852029	163010	3380023	0	35544	
5.000000	blackscholes	1	307	32.000000	5.064000	0.444000	1406262521	1845927	162746	3420568	0	35541	
5.500000	blackscholes	1	307	32.000000	5.064000	0.444000	1408099290	1848442	163531	3393401	0	35541	
5.000000	blackscholes	1	307	32.000000	5.056000	0.444000	1403601938	1846050	161468	3387798	0	35535	
4.500000	blackscholes	1	403	32.000000	5.056000	0.485000	1420371894	1845307	161594	3541380	0	35527	
4.500000	blackscholes	1	403	32.000000	5.056000	0.485000	1397348074	1839135	162388	3237339	0	35541	
4.500000	blackscholes	1	403	32.000000	5.056000	0.525000	1409096779	1846824	162232	3376334	0	35556	
4.500000	blackscholes	1	518	32.000000	5.056000	0.606000	1421411876	1840680	163474	3350202	0	35541	
4.500000	blackscholes	1	518	32.000000	5.056000	0.606000	1418109048	1838774	159429	3408066	0	35541	
4.500000	blackscholes	1	518	32.000000	5.056000	0.566000	1412500705	1837599	160306	3340873	0	35529	
3.500000	blackscholes	1	614	32.000000	5.048000	0.686000	1423284524	1836455	161247	3289604	0	35541	
3.500000	blackscholes	1	614	32.000000	5.048000	0.647000	1415385818	1832866	160041	3216091	0	35541	
3.000000	blackscholes	1	614	32.000000	5.048000	0.646000	1431222619	1838292	161234	3362003	0	35541	
3.500000	blackscholes	1	710	32.000000	5.048000	0.726000	1439377257	1836224	161090	3304413	0	35547	
3.000000	blackscholes	1	710	32.000000	5.056000	0.687000	1442539287	1839806	162610	3301462	0	35535	
3.500000	blackscholes	1	710	32.000000	5.048000	0.726000	1448588489	1838019	160340	3422194	0	35529	
3.000000	blackscholes	1	921	32.000000	5.048000	0.846000	1473373133	1836048	159774	3389829	0	35541	
3.500000	blackscholes	1	921	32.000000	5.048000	0.848000	1475471068	1836422	162280	3330818	0	35541	
3.000000	blackscholes	1	921	32.000000	5.048000	0.928000	1470086591	1834060	159827	3333381	0	35541	
2.500000	blackscholes	1	1036	32.000000	5.048000	0.928000	1477809511	1832621	160583	3232198	0	35535	
3.000000	blackscholes	1	1036	33.000000	5.048000	0.969000	1484082764	1836050	161887	3307884	0	35535	
3.000000	blackscholes	1	1036	32.000000	5.048000	0.928000	1482976123	1832334	159367	3317510	0	35541	
2.500000	blackscholes	1	1132	33.000000	5.048000	0.969000	1506149561	1838775	161468	3467972	0	35541	
3.000000	blackscholes	1	1132	33.000000	5.048000	0.967000	1495994770	1834607	159592	3386029	0	35541	
3.500000	blackscholes	1	1132	33.000000	5.048000	0.888000	1496600882	1836516	160761	3352060	0	35541	
3.500000	blackscholes	1	1224	33.000000	5.040000	1.088000	1513228414	1834420	160422	3387944	0	35541	
3.000000	blackscholes	1	1224	33.000000	5.040000	1.088000	1512953968	1834242	160328	3386048	0	35541	
3.000000	blackscholes	1	1224	33.000000	5.040000	1.088000	1507645979	1834158	160456	3324242	0	35541	
2.500000	blackscholes	1	1428	33.000000	5.040000	1.368000	1526342167	1830314	159291	3246571	0	35541	
3.000000	blackscholes	1	1428	33.000000	5.032000	1.328000	1549888066	1836651	159334	3502992	0	35541	
2.500000	blackscholes	1	1428	33.000000	5.040000	1.370000	1537291024	1839641	160442	3352451	0	35541	
3.000000	blackscholes	1	1479	34.000000	5.032000	1.408000	1536079092	1830142	161208	3225093	0	35541	
3.000000	blackscholes	1	1479	33.000000	5.032000	1.449000	1549516585	1832903	159272	3380966	0	35541	
2.500000	blackscholes	1	1479	33.000000	5.032000	1.449000	1550210144	1839966	159250	3393093	0	35541	
15.500000	bodytrack	1	102	32.000000	5.072000	0.243000	1676477727	1924193	170377	3535642	0	37876	
22.000000	bodytrack	1	102	32.000000	5.072000	0.243000	1690673929	1928613	171236	3584394	0	37899	
14.500000	bodytrack	1	102	32.000000	5.072000	0.243000	1686099487	1925144	170111	3607570	0	37891	
7.500000	bodytrack	1	204	32.000000	5.064000	0.324000	1638417484	1893444	162467	3418025	0	37873	
7.000000	bodytrack	1	204	32.000000	5.072000	0.324000	1639094247	1897768	165819	3415705	0	37879	
6.500000	bodytrack	1	204	32.000000	5.072000	0.324000	1653692901	1900845	164043	3632499	0	37877	
5.500000	bodytrack	1	307	32.000000	5.064000	0.364000	1634808997	1888049	162001	3441235	0	37885	
5.500000	bodytrack	1	307	32.000000	5.072000	0.364000	1628333854	1887058	163633	3344122	0	37873	
5.000000	bodytrack	1	307	32.000000	5.072000	0.365000	1649298867	1893168	163286	3558767	0	37882	
6.000000	bodytrack	1	403	32.000000	5.064000	0.405000	1636178856	1883621	162143	3367596	0	37887	
4.500000	bodytrack	1	403	32.000000	5.064000	0.405000	1639241161	1885779	162484	3449111	0	37894	
4.000000	bodytrack	1	403	32.000000	5.072000	0.405000	1645875772	1887607	163498	3500254	0	37867	
4.000000	bodytrack	1	518	32.000000	5.064000	0.445000	1647071204	1880981	161031	3406198	0	37894	
4.000000	bodytrack	1	518	32.000000	5.064000	0.445000	1643475159	1877831	159669	3355236	0	37895	
4.000000	bodytrack	1	518	32.000000	5.064000	0.486000	1658443186	1885320	162586	3454750	0	37888	
4.000000	bodytrack	1	614	33.000000	5.064000	0.526000	1658572575	1876880	160582	3333281	0	37882	
4.000000	bodytrack	1	614	32.000000	5.064000	0.526000	1661526743	1877297	160494	3356657	0	37891	
3.000000	bodytrack	1	614	32.000000	5.064000	0.526000	1658877988	1878302	160997	3364080	0	37888	
