Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_FIQ	0EXC_SMC
19.000000	blackscholes	1	102	33.000000	5.072000	0.243000	1443983205	9807	77023	4678	0	347	
17.000000	blackscholes	1	102	33.000000	5.072000	0.243000	1444894369	9789	77616	4611	0	350	
17.000000	blackscholes	1	102	32.000000	5.072000	0.243000	1453810929	10120	77668	4763	0	334	
8.000000	blackscholes	1	204	32.000000	5.064000	0.364000	1397932531	9481	77066	2326	0	332	
8.000000	blackscholes	1	204	33.000000	5.064000	0.364000	1409856508	10088	77307	2575	0	327	
9.000000	blackscholes	1	204	32.000000	5.056000	0.364000	1416334551	10141	77655	2506	0	334	
5.000000	blackscholes	1	307	33.000000	5.064000	0.445000	1394639191	9827	77014	1789	0	330	
5.000000	blackscholes	1	307	33.000000	5.056000	0.444000	1403137664	9814	77335	1767	0	328	
5.000000	blackscholes	1	307	33.000000	5.056000	0.444000	1426975998	11123	77584	1864	0	327	
5.000000	blackscholes	1	403	33.000000	5.056000	0.525000	1402381059	9807	77293	1242	0	331	
5.000000	blackscholes	1	403	33.000000	5.056000	0.525000	1414472432	10122	77649	1399	0	328	
5.000000	blackscholes	1	403	33.000000	5.056000	0.525000	1412800468	10462	77297	1454	0	325	
4.000000	blackscholes	1	518	33.000000	5.056000	0.606000	1421118830	9762	77689	1126	0	330	
4.000000	blackscholes	1	518	33.000000	5.056000	0.606000	1418046116	10140	77674	1074	0	324	
4.000000	blackscholes	1	518	33.000000	5.056000	0.606000	1424203571	10490	77285	1084	0	328	
3.000000	blackscholes	1	614	33.000000	5.048000	0.646000	1442521002	10779	77612	950	0	336	
3.000000	blackscholes	1	614	33.000000	5.048000	0.646000	1417739400	9462	77011	914	0	330	
4.000000	blackscholes	1	614	33.000000	5.048000	0.646000	1429044919	10120	77340	859	0	327	
4.000000	blackscholes	1	710	33.000000	5.048000	0.726000	1439116358	9817	77335	838	0	328	
4.000000	blackscholes	1	710	33.000000	5.048000	0.686000	1448936012	10170	77682	776	0	328	
4.000000	blackscholes	1	710	33.000000	5.048000	0.726000	1428555127	9468	77023	733	0	325	
3.000000	blackscholes	1	921	33.000000	5.048000	0.848000	1481037449	10809	77349	558	0	329	
3.000000	blackscholes	1	921	33.000000	5.048000	0.848000	1469240040	10105	77013	668	0	332	
3.000000	blackscholes	1	921	33.000000	5.040000	0.887000	1473867544	10124	77323	619	0	330	
2.000000	blackscholes	1	1036	33.000000	5.040000	0.927000	1485240447	9804	77718	521	0	326	
3.000000	blackscholes	1	1036	34.000000	5.040000	0.967000	1475533127	9796	77052	532	0	328	
4.000000	blackscholes	1	1036	33.000000	5.048000	0.888000	1498745765	10794	77893	574	0	331	
3.000000	blackscholes	1	1132	34.000000	5.040000	0.927000	1484571350	9498	77294	531	0	332	
3.000000	blackscholes	1	1132	33.000000	5.048000	0.928000	1497639621	9805	77617	524	0	324	
2.000000	blackscholes	1	1132	34.000000	5.048000	1.009000	1487829083	9788	77025	527	0	327	
2.000000	blackscholes	1	1224	34.000000	5.048000	1.090000	1499833490	9431	77330	513	0	332	
4.000000	blackscholes	1	1224	34.000000	5.040000	1.088000	1503038744	9800	77333	419	0	323	
2.000000	blackscholes	1	1224	34.000000	5.048000	1.090000	1511937475	10113	78014	475	0	333	
3.000000	blackscholes	1	1428	34.000000	5.032000	1.368000	1533228917	9811	77641	398	0	326	
3.000000	blackscholes	1	1428	34.000000	5.040000	1.330000	1533834585	10103	77629	393	0	333	
3.000000	blackscholes	1	1428	34.000000	5.032000	1.328000	1535991547	10178	77336	410	0	326	
3.000000	blackscholes	1	1479	34.000000	5.032000	1.408000	1540903862	9769	77324	404	0	326	
2.000000	blackscholes	1	1479	34.000000	5.032000	1.449000	1546071349	10141	77721	418	0	325	
2.000000	blackscholes	1	1479	34.000000	5.032000	1.449000	1529899611	9799	77007	434	0	325	
16.000000	bodytrack	1	102	33.000000	5.072000	0.243000	1688764473	10151	79768	5181	0	379	
21.000000	bodytrack	1	102	33.000000	5.072000	0.243000	1678850976	9836	79147	5087	0	346	
21.000000	bodytrack	1	102	33.000000	5.072000	0.243000	1681696984	10162	79151	4853	0	345	
6.000000	bodytrack	1	204	33.000000	5.072000	0.324000	1658016181	10458	79772	2759	0	336	
7.000000	bodytrack	1	204	33.000000	5.072000	0.324000	1660915873	10794	80048	2731	0	341	
7.000000	bodytrack	1	204	33.000000	5.072000	0.324000	1643923255	9814	79483	2679	0	354	
6.000000	bodytrack	1	307	33.000000	5.072000	0.365000	1638813143	9800	79442	1962	0	345	
5.000000	bodytrack	1	307	32.000000	5.064000	0.364000	1639359573	9796	80075	1772	0	327	
5.000000	bodytrack	1	307	32.000000	5.064000	0.364000	1639290870	9814	79431	2098	0	328	
5.000000	bodytrack	1	403	33.000000	5.064000	0.405000	1659119089	10820	79445	1644	0	330	
