Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	0EXC_HVC	0EXC_TRAP_PABORT	0EXC_TRAP_DABORT	0EXC_TRAP_OTHER	0EXC_TRAP_IRQ
14.375000	blackscholes	1	102	29.000000	5.080000	0.243000	1476825743	0	0	0	0	0	
16.750000	blackscholes	1	102	29.000000	5.072000	0.243000	1440898897	0	0	0	0	0	
13.625000	blackscholes	1	102	29.000000	5.072000	0.243000	1442175453	0	0	0	0	0	
10.625000	blackscholes	1	204	29.000000	5.064000	0.364000	1399276469	0	0	0	0	0	
6.875000	blackscholes	1	204	29.000000	5.064000	0.364000	1426917894	0	0	0	0	0	
8.000000	blackscholes	1	204	29.000000	5.064000	0.324000	1412531072	0	0	0	0	0	
5.000000	blackscholes	1	307	29.000000	5.064000	0.444000	1410680118	0	0	0	0	0	
5.250000	blackscholes	1	307	29.000000	5.056000	0.444000	1407052625	0	0	0	0	0	
5.500000	blackscholes	1	307	29.000000	5.056000	0.444000	1411222658	0	0	0	0	0	
4.625000	blackscholes	1	403	29.000000	5.056000	0.485000	1396015228	0	0	0	0	0	
4.500000	blackscholes	1	403	29.000000	5.056000	0.485000	1415137869	0	0	0	0	0	
4.500000	blackscholes	1	403	29.000000	5.056000	0.485000	1401659390	0	0	0	0	0	
3.875000	blackscholes	1	518	29.000000	5.056000	0.566000	1409682595	0	0	0	0	0	
3.875000	blackscholes	1	518	29.000000	5.056000	0.566000	1407615485	0	0	0	0	0	
4.250000	blackscholes	1	518	29.000000	5.056000	0.606000	1417069176	0	0	0	0	0	
3.625000	blackscholes	1	614	30.000000	5.048000	0.646000	1425834444	0	0	0	0	0	
3.250000	blackscholes	1	614	29.000000	5.048000	0.605000	1420614877	0	0	0	0	0	
3.625000	blackscholes	1	614	29.000000	5.056000	0.606000	1439378730	0	0	0	0	0	
3.500000	blackscholes	1	710	30.000000	5.048000	0.728000	1431993704	0	0	0	0	0	
3.625000	blackscholes	1	710	30.000000	5.040000	0.967000	1442469934	0	0	0	0	0	
6.000000	blackscholes	1	710	29.000000	5.048000	0.767000	1512396630	0	0	0	0	0	
2.750000	blackscholes	1	921	30.000000	5.040000	0.887000	1470222860	0	0	0	0	0	
3.625000	blackscholes	1	921	30.000000	5.048000	0.888000	1460332359	0	0	0	0	0	
2.750000	blackscholes	1	921	30.000000	5.048000	0.807000	1448904651	0	0	0	0	0	
3.000000	blackscholes	1	1036	30.000000	5.048000	0.928000	1495425582	0	0	0	0	0	
3.250000	blackscholes	1	1036	30.000000	5.048000	0.969000	1480649272	0	0	0	0	0	
