Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_TLB_REFILL	INST_RETIRED	EXC_TAKEN	EXC_RETURN	CID_WRITE_RETIRED
17.000000	blackscholes	1	102	36.000000	5.072000	0.284000	1446073437	5112272	1085557211	127612	127612	0	
19.500000	blackscholes	1	102	36.000000	5.072000	0.243000	1451007193	5135842	1089648003	128297	128297	0	
17.000000	blackscholes	1	102	36.000000	5.064000	0.243000	1448301462	5171968	1084307430	127843	127843	0	
8.500000	blackscholes	1	204	36.000000	5.056000	0.364000	1402512628	4977839	1063383427	125062	125062	0	
8.000000	blackscholes	1	204	36.000000	5.056000	0.404000	1407831416	4987530	1069833009	125758	125758	0	
9.500000	blackscholes	1	204	36.000000	5.056000	0.364000	1412366436	4952275	1071885244	125731	125731	0	
5.000000	blackscholes	1	307	36.000000	5.056000	0.444000	1414200661	4959473	1069381272	125840	125840	0	
5.000000	blackscholes	1	307	36.000000	5.048000	0.485000	1407601099	4916556	1064433378	125064	125064	0	
5.000000	blackscholes	1	307	36.000000	5.056000	0.485000	1401191852	4909235	1060814977	124952	124952	0	
5.000000	blackscholes	1	403	36.000000	5.056000	0.525000	1405029470	4899010	1056821784	124285	124285	0	
4.500000	blackscholes	1	403	36.000000	5.056000	0.525000	1400921181	4878687	1050503663	124098	124098	0	
4.500000	blackscholes	1	403	36.000000	5.056000	0.525000	1406802749	4894257	1053292251	124170	124170	0	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1408426402	4883967	1046995187	123641	123641	0	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1409228790	4847125	1049579906	123913	123913	0	
3.500000	blackscholes	1	518	36.000000	5.048000	0.605000	1411867412	4836229	1049138030	123688	123688	0	
3.500000	blackscholes	1	614	36.000000	5.048000	0.686000	1419859630	4870599	1043722354	123416	123416	0	
3.500000	blackscholes	1	614	36.000000	5.048000	0.686000	1423876682	4816610	1049613354	123621	123621	0	
3.500000	blackscholes	1	614	36.000000	5.048000	0.686000	1423606502	4889074	1047183651	123661	123661	0	
3.500000	blackscholes	1	710	36.000000	5.048000	0.767000	1439411669	4890938	1052927046	123868	123868	0	
4.000000	blackscholes	1	710	36.000000	5.048000	0.726000	1453297987	4922410	1063533335	124868	124868	0	
4.500000	blackscholes	1	710	36.000000	5.048000	0.726000	1442247144	4845822	1052594009	123816	123816	0	
3.000000	blackscholes	1	921	36.000000	5.040000	0.887000	1479120145	4845850	1059592941	124645	124645	0	
5.000000	blackscholes	1	921	36.000000	5.040000	0.848000	1469185791	4814575	1051034686	123977	123977	0	
3.500000	blackscholes	1	921	36.000000	5.040000	0.887000	1487913980	4912862	1066875333	124934	124934	0	
3.000000	blackscholes	1	1036	37.000000	5.040000	0.967000	1474814806	4814886	1043740412	123236	123236	0	
3.000000	blackscholes	1	1036	36.000000	5.040000	0.967000	1484254786	4803332	1053189478	124104	124104	0	
3.000000	blackscholes	1	1036	37.000000	5.040000	0.967000	1498518163	4930809	1063282440	124591	124591	0	
3.000000	blackscholes	1	1132	37.000000	5.040000	0.967000	1478745105	4791204	1042963141	123226	123226	0	
3.000000	blackscholes	1	1132	36.000000	5.040000	1.008000	1490065957	4810270	1046813147	123315	123315	0	
3.500000	blackscholes	1	1132	36.000000	5.040000	0.967000	1487280026	4799842	1050755179	124193	124193	0	
2.500000	blackscholes	1	1224	37.000000	5.040000	1.088000	1499533528	4805164	1042341420	123495	123495	0	
3.000000	blackscholes	1	1224	37.000000	5.040000	1.088000	1505310390	4814337	1052290167	124095	124095	0	
3.000000	blackscholes	1	1224	36.000000	5.040000	1.128000	1499133178	4809600	1042823313	122934	122934	0	
2.500000	blackscholes	1	1428	37.000000	5.032000	1.368000	1536718190	4845495	1055567882	124133	124133	0	
2.500000	blackscholes	1	1428	37.000000	5.032000	1.368000	1518164911	4812304	1040968296	122789	122789	0	
2.500000	blackscholes	1	1428	37.000000	5.032000	1.328000	1529826103	4814120	1048317061	123428	123428	0	
3.000000	blackscholes	1	1479	37.000000	5.032000	1.408000	1536663454	4794059	1049661587	123448	123448	0	
2.500000	blackscholes	1	1479	37.000000	5.032000	1.449000	1552441960	4831641	1059128364	124365	124365	0	
3.000000	blackscholes	1	1479	37.000000	5.032000	1.408000	1543997538	4799330	1050368808	123485	123485	0	
17.500000	bodytrack	1	102	36.000000	5.072000	0.243000	1686379320	5371393	1428384185	133672	133672	0	
15.500000	bodytrack	1	102	35.000000	5.072000	0.243000	1692201992	5364504	1432069012	134254	134254	0	
23.500000	bodytrack	1	102	35.000000	5.064000	0.243000	1685596199	5369081	1427772596	132929	132929	0	
7.000000	bodytrack	1	204	35.000000	5.064000	0.324000	1648180131	5138832	1408470785	130355	130355	0	
13.000000	bodytrack	1	204	35.000000	5.064000	0.324000	1643878881	5178524	1406834310	130465	130465	0	
6.000000	bodytrack	1	204	35.000000	5.072000	0.324000	1633688905	5136816	1401946476	130433	130433	0	
6.000000	bodytrack	1	307	35.000000	5.064000	0.364000	1635678345	5151538	1396017579	129479	129479	0	
6.000000	bodytrack	1	307	35.000000	5.064000	0.364000	1645493731	5128461	1406336874	129650	129650	0	
5.500000	bodytrack	1	307	36.000000	5.064000	0.364000	1642595373	5078880	1403693755	129967	129967	0	
4.500000	bodytrack	1	403	36.000000	5.064000	0.405000	1640504510	5089316	1391044908	128842	128842	0	
4.500000	bodytrack	1	403	35.000000	5.064000	0.445000	1636074996	5083303	1392420485	128717	128717	0	
4.500000	bodytrack	1	403	36.000000	5.064000	0.445000	1647235887	5018439	1398222288	129276	129276	0	
4.500000	bodytrack	1	518	36.000000	5.064000	0.445000	1659453550	5101624	1394949592	129399	129399	0	
4.000000	bodytrack	1	518	36.000000	5.064000	0.445000	1654933865	4992704	1393644949	128726	128726	0	
4.500000	bodytrack	1	518	36.000000	5.072000	0.446000	1648047024	5019712	1388526527	128354	128354	0	
3.500000	bodytrack	1	614	36.000000	5.064000	0.526000	1665253937	5059637	1390187359	128883	128883	0	
3.500000	bodytrack	1	614	36.000000	5.064000	0.567000	1665753132	5036581	1393776668	128917	128917	0	
