Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
19.000000	blackscholes	1	102	37.000000	5.072000	0.283000	1451006154	8940007	231684691	455212583	578454699	4557811	
14.000000	blackscholes	1	102	37.000000	5.072000	0.243000	1444653197	8956755	230155256	453142445	576027990	4475453	
21.500000	blackscholes	1	102	37.000000	5.064000	0.283000	1442562839	8949055	230469680	452888412	576503100	4446493	
12.500000	blackscholes	1	204	37.000000	5.056000	0.404000	1410072370	8514445	228238406	446985827	565040764	4211618	
9.500000	blackscholes	1	204	37.000000	5.056000	0.404000	1399161057	8579391	227037916	444618291	562859379	4149568	
7.000000	blackscholes	1	204	37.000000	5.056000	0.404000	1411374522	8539972	228311377	447235962	566377788	4229450	
5.500000	blackscholes	1	307	37.000000	5.056000	0.444000	1403642004	8375438	226787903	443660044	560683153	4099747	
7.000000	blackscholes	1	307	37.000000	5.056000	0.484000	1399131261	8436842	225680072	442004321	558509961	4061412	
5.000000	blackscholes	1	307	37.000000	5.056000	0.485000	1408528160	8403702	227561415	445437154	562023307	4157058	
4.500000	blackscholes	1	403	37.000000	5.056000	0.525000	1401666108	8296410	225356142	441030393	556252753	4015056	
5.000000	blackscholes	1	403	37.000000	5.056000	0.566000	1404852621	8244621	225769133	441472113	556748765	4085971	
5.000000	blackscholes	1	403	37.000000	5.056000	0.525000	1406935030	8282537	225236983	440829984	557203568	4012425	
4.000000	blackscholes	1	518	37.000000	5.048000	0.605000	1406412605	8120138	223524631	436946774	551811775	3966139	
4.000000	blackscholes	1	518	37.000000	5.048000	0.646000	1414140788	8185701	225380116	440876585	556178436	3973083	
3.500000	blackscholes	1	518	37.000000	5.048000	0.605000	1404731277	8153085	223085380	436770912	551099360	3983454	
3.500000	blackscholes	1	614	37.000000	5.048000	0.646000	1435963207	8186619	226262991	441951236	556805312	4021404	
3.500000	blackscholes	1	614	37.000000	5.040000	0.685000	1420078829	8136176	223509994	437206634	551349906	3920734	
3.500000	blackscholes	1	614	37.000000	5.048000	0.686000	1428414371	8123746	224947697	439775080	554063403	3943699	
3.500000	blackscholes	1	710	37.000000	5.048000	0.767000	1443171764	8122054	225714790	440491940	556255984	4000092	
3.500000	blackscholes	1	710	37.000000	5.048000	0.726000	1437079655	8114834	224355857	438637134	552428183	3923688	
3.500000	blackscholes	1	710	37.000000	5.048000	0.767000	1444906196	8190521	225712896	440677053	555722422	4013789	
3.000000	blackscholes	1	921	38.000000	5.040000	0.887000	1464847364	8061545	224585444	438367409	552419355	3969758	
3.500000	blackscholes	1	921	37.000000	5.040000	0.887000	1474782585	8083359	225169253	439845400	554570851	3948991	
3.000000	blackscholes	1	921	37.000000	5.040000	0.846000	1455577917	8058856	223011800	435690454	550014733	3881569	
3.000000	blackscholes	1	1036	37.000000	5.040000	0.927000	1506751210	8083413	228337173	444803118	561632276	3997198	
3.500000	blackscholes	1	1036	37.000000	5.040000	0.967000	1478539888	8037640	224144935	437948955	551383150	3954220	
3.500000	blackscholes	1	1036	37.000000	5.040000	0.967000	1492593005	8095512	225815229	440487688	554751998	4017357	
2.500000	blackscholes	1	1132	37.000000	5.040000	0.927000	1489447909	8027797	224443550	438400434	552583016	3946240	
3.500000	blackscholes	1	1132	37.000000	5.040000	1.008000	1501594694	8139573	226878914	442878226	557116920	3966321	
3.000000	blackscholes	1	1132	37.000000	5.040000	0.967000	1487579580	7996768	224496695	438594279	552948437	3958795	
3.000000	blackscholes	1	1224	38.000000	5.040000	1.088000	1501945958	7972488	223787667	436993899	550877317	3932343	
3.000000	blackscholes	1	1224	38.000000	5.040000	1.128000	1514214206	8025000	226592910	442137404	555971578	3972429	
3.500000	blackscholes	1	1224	38.000000	5.040000	1.128000	1508802992	8039865	224870088	439152445	553106317	3950368	
4.000000	blackscholes	1	1428	38.000000	5.032000	1.288000	1523467228	7945743	223865309	437008491	551025101	3928934	
