Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L2D_CACHE	L2D_CACHE_REFILL	L2D_CACHE_WB	BUS_ACCESS	MEMORY_ERROR
19.000000	blackscholes	1	102	38.000000	5.072000	0.243000	1459536672	51114896	6758147	1416744	38121751	0	
27.000000	blackscholes	1	102	38.000000	5.064000	0.243000	1458321835	50667586	6550560	1372057	37043516	0	
21.000000	blackscholes	1	102	38.000000	5.064000	0.283000	1462091707	50645231	6434611	1366471	36483586	0	
7.000000	blackscholes	1	204	38.000000	5.056000	0.404000	1421634216	46504126	5806052	1325631	33699793	0	
9.000000	blackscholes	1	204	38.000000	5.056000	0.404000	1404882553	46028911	5575406	1319722	32657576	0	
8.000000	blackscholes	1	204	37.000000	5.056000	0.404000	1430776679	46936405	5828764	1327232	33777064	0	
7.000000	blackscholes	1	307	38.000000	5.056000	0.485000	1399207129	44623238	5274475	1288167	31324360	0	
6.000000	blackscholes	1	307	38.000000	5.056000	0.485000	1405348652	44737287	5392573	1309758	32005384	0	
6.000000	blackscholes	1	307	37.000000	5.056000	0.485000	1404261165	44874241	5437346	1314661	32170410	0	
4.000000	blackscholes	1	403	38.000000	5.048000	0.524000	1406023604	44003149	5068308	1293994	30555298	0	
5.000000	blackscholes	1	403	38.000000	5.048000	0.524000	1410287204	44162936	5160704	1291134	30929640	0	
4.000000	blackscholes	1	403	38.000000	5.056000	0.565000	1406193610	44304176	5200099	1286451	31011764	0	
4.000000	blackscholes	1	518	38.000000	5.048000	0.605000	1422670597	43396741	5085893	1284811	30529063	0	
4.000000	blackscholes	1	518	38.000000	5.048000	0.605000	1412726288	43112074	4900621	1265767	29713670	0	
4.000000	blackscholes	1	518	37.000000	5.048000	0.605000	1411150447	43119098	4985103	1256825	29942417	0	
3.000000	blackscholes	1	614	38.000000	5.048000	0.686000	1429209262	42764261	4947248	1292933	30114046	0	
3.000000	blackscholes	1	614	38.000000	5.048000	0.686000	1425496915	43101418	4906134	1267922	29747057	0	
3.000000	blackscholes	1	614	38.000000	5.040000	0.686000	1435401812	43240193	5007768	1283553	30296184	0	
4.000000	blackscholes	1	710	38.000000	5.048000	0.767000	1442872117	42872327	4813946	1275458	29427406	0	
3.000000	blackscholes	1	710	38.000000	5.040000	0.766000	1449358014	42948310	4912651	1291578	29924077	0	
4.000000	blackscholes	1	710	38.000000	5.048000	0.726000	1441174845	42749492	4874338	1269365	29578738	0	
3.000000	blackscholes	1	921	38.000000	5.032000	0.885000	1474657130	42747454	4694749	1259949	28831788	0	
3.000000	blackscholes	1	921	38.000000	5.032000	0.887000	1471536029	42409144	4731297	1259310	28977506	0	
3.000000	blackscholes	1	921	38.000000	5.040000	0.927000	1466892371	42406811	4689168	1265438	28814217	0	
3.000000	blackscholes	1	1036	38.000000	5.040000	0.927000	1491093308	42277995	4759802	1278574	29226396	0	
3.000000	blackscholes	1	1036	38.000000	5.040000	0.967000	1489457443	42659626	4645118	1277585	28730570	0	
2.000000	blackscholes	1	1036	38.000000	5.040000	1.008000	1496863912	42517357	4672990	1273082	28845680	0	
3.000000	blackscholes	1	1132	38.000000	5.040000	0.927000	1490696541	42337893	4614018	1255698	28457714	0	
3.000000	blackscholes	1	1132	38.000000	5.040000	0.967000	1503625719	42198918	4644477	1280067	28765175	0	
3.000000	blackscholes	1	1132	38.000000	5.040000	0.927000	1502745274	42147608	4680732	1283031	28909544	0	
2.000000	blackscholes	1	1224	38.000000	5.040000	1.128000	1507195901	42145556	4570678	1263333	28352071	0	
3.000000	blackscholes	1	1224	38.000000	5.032000	1.086000	1510020259	42132482	4628301	1264301	28584477	0	
4.000000	blackscholes	1	1224	39.000000	5.032000	1.127000	1493967012	41772251	4604229	1271665	28574038	0	
