Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	INST_SPEC	TTBR_WRITE_RETIRED	BUS_CYCLES	CHAIN	L1D_CACHE_LD
22.000000	blackscholes	1	102	34.000000	5.072000	0.243000	1455604817	1384803632	1813728	1455589081	0	259538993	
18.000000	blackscholes	1	102	34.000000	5.064000	0.243000	1462549503	1396325052	1815140	1462537925	0	262117075	
24.000000	blackscholes	1	102	34.000000	5.072000	0.243000	1457197344	1389712475	1813660	1457186298	0	260884620	
8.000000	blackscholes	1	204	34.000000	5.056000	0.364000	1418530872	1360529338	1811208	1418521114	0	255687030	
14.000000	blackscholes	1	204	34.000000	5.056000	0.364000	1404263660	1351656487	1807952	1404253531	0	254156905	
8.000000	blackscholes	1	204	35.000000	5.056000	0.364000	1409037207	1351547716	1807188	1409027064	0	254052546	
6.000000	blackscholes	1	307	34.000000	5.056000	0.484000	1428384834	1367152852	1812772	1428375300	0	257452628	
6.000000	blackscholes	1	307	34.000000	5.048000	0.484000	1402691130	1340973891	1805388	1402682247	0	252347910	
6.000000	blackscholes	1	307	34.000000	5.056000	0.485000	1404249203	1343169537	1807484	1404240411	0	252838673	
4.000000	blackscholes	1	403	34.000000	5.048000	0.525000	1403490513	1332781420	1806604	1403481511	0	250765420	
6.000000	blackscholes	1	403	34.000000	5.056000	0.525000	1416701923	1344034516	1807836	1416693313	0	252950977	
4.000000	blackscholes	1	403	34.000000	5.056000	0.485000	1405430889	1335235259	1805252	1405421607	0	251347693	
4.000000	blackscholes	1	518	34.000000	5.048000	0.605000	1416176038	1333126681	1805040	1416167918	0	251122518	
2.000000	blackscholes	1	518	35.000000	5.048000	0.646000	1420603786	1338343956	1808640	1420595491	0	252227101	
4.000000	blackscholes	1	518	35.000000	5.048000	0.605000	1435976193	1349940755	1808828	1435967310	0	254388377	
4.000000	blackscholes	1	614	35.000000	5.048000	0.686000	1429549351	1333545988	1804688	1429541266	0	251050946	
4.000000	blackscholes	1	614	35.000000	5.048000	0.646000	1448161315	1351076684	1810056	1448152404	0	254425548	
2.000000	blackscholes	1	614	35.000000	5.048000	0.686000	1436877031	1338770388	1807524	1436868617	0	252207748	
4.000000	blackscholes	1	710	35.000000	5.048000	0.726000	1443408437	1332298765	1805888	1443400429	0	251065339	
4.000000	blackscholes	1	710	35.000000	5.048000	0.767000	1445306463	1336281821	1808176	1445298420	0	251538303	
2.000000	blackscholes	1	710	35.000000	5.048000	0.726000	1432093316	1320460509	1801720	1432085021	0	248646666	
2.000000	blackscholes	1	921	35.000000	5.040000	0.887000	1461750334	1322134008	1803148	1461742116	0	249253883	
4.000000	blackscholes	1	921	35.000000	5.040000	0.887000	1485658452	1341616544	1808328	1485650136	0	253169464	
2.000000	blackscholes	1	921	35.000000	5.040000	0.887000	1462965620	1321472092	1804412	1462957395	0	249024359	
4.000000	blackscholes	1	1036	35.000000	5.040000	0.927000	1500291987	1343293582	1810440	1500284196	0	253545179	
2.000000	blackscholes	1	1036	35.000000	5.040000	0.967000	1481556523	1324007284	1804316	1481548774	0	249667613	
2.000000	blackscholes	1	1036	35.000000	5.040000	0.927000	1486635165	1324798360	1804460	1486626842	0	249784067	
2.000000	blackscholes	1	1132	35.000000	5.048000	1.008000	1494594258	1332872649	1806992	1494586544	0	251476904	
4.000000	blackscholes	1	1132	35.000000	5.040000	0.967000	1500689683	1333962756	1806680	1500681801	0	251718041	
2.000000	blackscholes	1	1132	35.000000	5.040000	0.927000	1496358128	1328907010	1805564	1496350386	0	250681198	
2.000000	blackscholes	1	1224	35.000000	5.040000	1.128000	1523203825	1343509652	1810516	1523195936	0	253138003	
2.000000	blackscholes	1	1224	35.000000	5.040000	1.088000	1497881354	1319989165	1802844	1497873696	0	248869421	
2.000000	blackscholes	1	1224	35.000000	5.040000	1.088000	1508601340	1329493860	1806464	1508593563	0	250699989	
2.000000	blackscholes	1	1428	36.000000	5.032000	1.288000	1529584140	1324373263	1803960	1529576811	0	249752882	
2.000000	blackscholes	1	1428	36.000000	5.032000	1.408000	1529626702	1322595974	1804032	1529619121	0	249622894	
2.000000	blackscholes	1	1428	36.000000	5.032000	1.328000	1539022800	1329856527	1806612	1539014869	0	251038099	
2.000000	blackscholes	1	1479	36.000000	5.032000	1.449000	1543694577	1330084978	1806792	1543687003	0	250812252	
