Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE_ST	L1D_CACHE_REFILL_LD	L1D_CACHE_REFILL_ST	L1D_CACHE_WB_VICTIM	L1D_CACHE_WB_CLEAN
14.000000	blackscholes	1	102	36.000000	5.072000	0.243000	1455686180	195609610	9627731	1957678	4364636	159234	
14.000000	blackscholes	1	102	36.000000	5.072000	0.243000	1453989958	194740902	9655338	1936718	4327677	158718	
18.000000	blackscholes	1	102	36.000000	5.064000	0.243000	1447958096	194595109	9639795	1901558	4302356	152888	
12.000000	blackscholes	1	204	36.000000	5.056000	0.364000	1410406986	191006881	9053517	1851387	4086237	133420	
8.000000	blackscholes	1	204	36.000000	5.056000	0.404000	1408403462	191271606	9089468	1862627	4091565	134140	
8.000000	blackscholes	1	204	36.000000	5.056000	0.364000	1409230958	190876013	9014850	1857687	4067185	135754	
6.000000	blackscholes	1	307	36.000000	5.056000	0.444000	1425105581	192607733	8990448	1799902	4042959	130858	
6.000000	blackscholes	1	307	36.000000	5.056000	0.444000	1413850756	190711534	8773208	1818179	3989311	130550	
6.000000	blackscholes	1	307	36.000000	5.056000	0.444000	1401829481	189011656	8768239	1825443	3963782	130123	
4.000000	blackscholes	1	403	36.000000	5.048000	0.524000	1408366567	188947191	8689095	1776091	3906347	124068	
6.000000	blackscholes	1	403	36.000000	5.056000	0.525000	1428517737	191303815	8782063	1820038	4025070	124221	
4.000000	blackscholes	1	403	36.000000	5.056000	0.525000	1431309258	191199676	8951510	1831939	4083589	126666	
4.000000	blackscholes	1	518	36.000000	5.048000	0.646000	1410726842	187234862	8473334	1783660	3869105	120839	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1418213421	188904028	8683886	1815531	3958541	120342	
4.000000	blackscholes	1	518	36.000000	5.048000	0.646000	1409706632	187172020	8674097	1859229	3971005	119307	
4.000000	blackscholes	1	614	36.000000	5.048000	0.686000	1427561285	187947939	8510812	1810682	3907432	123681	
4.000000	blackscholes	1	614	36.000000	5.048000	0.646000	1429436092	187951388	8467423	1774082	3873688	119239	
4.000000	blackscholes	1	614	36.000000	5.048000	0.686000	1434947225	188885618	8475954	1780481	3885446	120674	
4.000000	blackscholes	1	710	36.000000	5.048000	0.767000	1451035260	189293077	8531173	1766318	3889798	115424	
4.000000	blackscholes	1	710	36.000000	5.048000	0.726000	1442050169	187952662	8635291	1852409	3961121	119336	
2.000000	blackscholes	1	710	36.000000	5.048000	0.726000	1440790640	187933635	8436752	1746989	3818044	119064	
2.000000	blackscholes	1	921	37.000000	5.040000	0.887000	1466415686	187331620	8271011	1764557	3805465	116751	
4.000000	blackscholes	1	921	36.000000	5.048000	0.927000	1475552923	188584142	8472984	1808804	3906575	116620	
4.000000	blackscholes	1	921	37.000000	5.040000	0.887000	1480983240	188952146	8511303	1774928	3875266	118508	
4.000000	blackscholes	1	1036	36.000000	5.040000	0.967000	1480397661	187471323	8350249	1755304	3826260	111949	
4.000000	blackscholes	1	1036	37.000000	5.040000	0.967000	1485494901	187946077	8386591	1765879	3848086	113400	
4.000000	blackscholes	1	1036	37.000000	5.040000	0.927000	1479601741	186722160	8360644	1756335	3826839	114943	
2.000000	blackscholes	1	1132	36.000000	5.040000	0.927000	1506322305	189265028	8534778	1780628	3903562	118674	
4.000000	blackscholes	1	1132	36.000000	5.040000	0.927000	1498832848	187721738	8443870	1764382	3855589	117711	
4.000000	blackscholes	1	1132	36.000000	5.040000	0.967000	1490031782	187247956	8359743	1776774	3828530	114941	
4.000000	blackscholes	1	1224	37.000000	5.040000	1.128000	1499609011	186922107	8368905	1772246	3847238	113493	
4.000000	blackscholes	1	1224	37.000000	5.040000	1.088000	1507454190	187608966	8372412	1760786	3817481	114770	
4.000000	blackscholes	1	1224	37.000000	5.040000	1.128000	1500718394	187173829	8358244	1734747	3791063	113855	
2.000000	blackscholes	1	1428	37.000000	5.032000	1.326000	1526511127	187258862	8440622	1799217	3880127	115426	
4.000000	blackscholes	1	1428	37.000000	5.032000	1.368000	1546540655	189363728	8391957	1741302	3841416	115673	
4.000000	blackscholes	1	1428	37.000000	5.032000	1.368000	1541891481	188709632	8379346	1763154	3854997	113834	
2.000000	blackscholes	1	1479	37.000000	5.032000	1.449000	1547948248	187608612	8670674	1863962	3958165	120205	
2.000000	blackscholes	1	1479	38.000000	5.032000	1.449000	1554472794	189493468	8481921	1781781	3926564	117676	
2.000000	blackscholes	1	1479	37.000000	5.024000	1.406000	1548916220	187735700	8463580	1815844	3915058	113833	
16.000000	bodytrack	1	102	36.000000	5.072000	0.243000	1683611074	212159516	10331727	2204024	4710441	163657	
14.000000	bodytrack	1	102	36.000000	5.072000	0.243000	1690840563	212898037	10468476	2219295	4697362	182095	
18.000000	bodytrack	1	102	36.000000	5.072000	0.243000	1689223868	212888301	10409871	2248047	4745458	173464	
6.000000	bodytrack	1	204	36.000000	5.064000	0.324000	1650690238	208565285	9734870	2128611	4448496	147537	
8.000000	bodytrack	1	204	36.000000	5.064000	0.324000	1640504635	207526425	9698965	2133019	4423221	146230	
10.000000	bodytrack	1	204	36.000000	5.072000	0.324000	1635012970	207589541	9550524	2096436	4382709	145820	
6.000000	bodytrack	1	307	36.000000	5.064000	0.364000	1649633095	207858817	9527904	2123265	4386085	137219	
6.000000	bodytrack	1	307	36.000000	5.064000	0.364000	1639052499	206724073	9371462	2078691	4318548	137524	
4.000000	bodytrack	1	307	36.000000	5.064000	0.364000	1635372125	206158405	9553864	2111762	4364229	135142	
4.000000	bodytrack	1	403	36.000000	5.064000	0.405000	1649771455	206971199	9409921	2101250	4332153	134416	
4.000000	bodytrack	1	403	36.000000	5.064000	0.445000	1637906375	206100360	9208307	2059207	4262237	129512	
6.000000	bodytrack	1	403	36.000000	5.064000	0.445000	1656727400	207536289	9440504	2121739	4368805	134329	
4.000000	bodytrack	1	518	36.000000	5.064000	0.486000	1652130638	205009468	9205070	2064942	4238123	131050	
4.000000	bodytrack	1	518	36.000000	5.064000	0.486000	1665497630	206927827	9447138	2041346	4290385	129297	
4.000000	bodytrack	1	518	36.000000	5.064000	0.486000	1658885627	205773311	9345112	2093475	4302055	131376	
2.000000	bodytrack	1	614	36.000000	5.064000	0.526000	1672846638	206056671	9177775	2049931	4223111	128786	
2.000000	bodytrack	1	614	36.000000	5.064000	0.526000	1675331931	206506252	9300241	2063849	4280311	128564	
4.000000	bodytrack	1	614	36.000000	5.064000	0.526000	1658694103	204227873	9097461	2025607	4162209	123728	
2.000000	bodytrack	1	710	36.000000	5.056000	0.606000	1685021764	205702739	9174944	2083303	4258187	126210	
6.000000	bodytrack	1	710	36.000000	5.056000	0.566000	1679650096	205432935	9311884	2080081	4289245	127620	
4.000000	bodytrack	1	710	36.000000	5.056000	0.566000	1686457474	206420570	9192248	2035540	4247597	122563	
4.000000	bodytrack	1	921	36.000000	5.048000	0.726000	1709493053	204694009	9046361	1999520	4153387	117982	
4.000000	bodytrack	1	921	37.000000	5.048000	0.728000	1710686816	204961128	9026303	1999526	4144523	122448	
2.000000	bodytrack	1	921	36.000000	5.048000	0.767000	1712056243	204719813	9109576	2053829	4223462	121105	
2.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1735003665	205656402	8999291	1992293	4171252	119691	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.807000	1728409769	204743950	9087142	2040072	4238922	123340	
2.000000	bodytrack	1	1036	37.000000	5.048000	0.848000	1744121655	206182987	9179355	2070252	4263226	121769	
2.000000	bodytrack	1	1132	37.000000	5.048000	0.888000	1733047277	205235012	9167598	2046569	4225957	122097	
4.000000	bodytrack	1	1132	36.000000	5.048000	0.888000	1721993957	203381705	8939319	2013555	4136801	118264	
4.000000	bodytrack	1	1132	37.000000	5.048000	0.888000	1731533432	204910084	9009352	2004596	4145922	122775	
4.000000	bodytrack	1	1224	37.000000	5.048000	0.969000	1755382216	204930403	9045047	2008066	4219859	122516	
4.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1753829948	205062359	9054512	2013699	4183048	121943	
2.000000	bodytrack	1	1224	37.000000	5.048000	0.969000	1758763649	205590782	9029137	2033839	4196750	125310	
2.000000	bodytrack	1	1428	37.000000	5.040000	1.209000	1775864674	204127954	9197139	2035388	4193112	119572	
2.000000	bodytrack	1	1428	38.000000	5.040000	1.209000	1779915925	204129745	8943133	2014298	4162226	119822	
