Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE_INVAL	L1D_TLB_REFILL_LD	L1D_TLB_REFILL_ST	L2D_CACHE_LD	L2D_CACHE_ST
12.000000	blackscholes	1	102	35.000000	5.072000	0.243000	1454559096	62627	4656263	570353	37224117	13392029	
30.000000	blackscholes	1	102	35.000000	5.064000	0.243000	1445840146	65995	4646638	571091	37136311	13348414	
14.000000	blackscholes	1	102	35.000000	5.072000	0.283000	1441971433	59116	4550912	564468	36848763	13347117	
12.000000	blackscholes	1	204	36.000000	5.056000	0.404000	1411625279	39727	4441878	549645	33836500	12765522	
8.000000	blackscholes	1	204	36.000000	5.056000	0.404000	1430466631	37684	4556106	562398	33928751	12995323	
8.000000	blackscholes	1	204	35.000000	5.056000	0.404000	1423040188	38731	4526518	556201	33841799	12743256	
6.000000	blackscholes	1	307	35.000000	5.056000	0.444000	1401378137	32290	4455064	545859	32235745	12297599	
6.000000	blackscholes	1	307	36.000000	5.056000	0.485000	1411646815	29942	4480906	552913	32435560	12452768	
6.000000	blackscholes	1	307	36.000000	5.056000	0.485000	1406952143	31138	4498181	548607	32637281	12444558	
4.000000	blackscholes	1	403	36.000000	5.056000	0.525000	1417385916	25371	4450520	545488	31632514	12307989	
6.000000	blackscholes	1	403	35.000000	5.056000	0.525000	1401156354	26536	4432611	547281	31556070	12108930	
4.000000	blackscholes	1	403	36.000000	5.048000	0.525000	1402620678	30510	4390534	541291	31826724	12242480	
2.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1426630626	25239	4387948	548551	31162189	12147939	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1432844291	25603	4455312	546483	31167417	12172975	
4.000000	blackscholes	1	518	36.000000	5.048000	0.646000	1413129976	24739	4409453	545920	31080186	12127314	
4.000000	blackscholes	1	614	36.000000	5.048000	0.646000	1423029944	24705	4376665	544282	30798631	12088726	
4.000000	blackscholes	1	614	36.000000	5.048000	0.646000	1432343256	21866	4378878	538192	30951879	12114016	
4.000000	blackscholes	1	614	36.000000	5.048000	0.646000	1431496337	23801	4393507	541328	30922121	12151016	
4.000000	blackscholes	1	710	36.000000	5.048000	0.767000	1453811148	22932	4418024	545342	30771982	12104088	
4.000000	blackscholes	1	710	36.000000	5.048000	0.686000	1443674642	20432	4384246	536055	30527038	11966388	
4.000000	blackscholes	1	710	36.000000	5.048000	0.726000	1431761501	19748	4335278	538490	30649887	12004063	
4.000000	blackscholes	1	921	35.000000	5.040000	0.846000	1464148584	20391	4375056	534763	30195816	11985493	
2.000000	blackscholes	1	921	36.000000	5.040000	0.846000	1458788032	17880	4376033	539503	30038773	11962709	
2.000000	blackscholes	1	921	36.000000	5.040000	0.806000	1477717253	21113	4417699	543935	30642413	12154770	
2.000000	blackscholes	1	1036	36.000000	5.048000	0.887000	1492466282	19815	4412080	543733	30279193	12098080	
4.000000	blackscholes	1	1036	36.000000	5.040000	1.048000	1511063208	22662	4465805	545380	30441654	12113833	
4.000000	blackscholes	1	1036	36.000000	5.040000	0.967000	1475174259	16868	4341163	537741	29943118	11926621	
2.000000	blackscholes	1	1132	36.000000	5.040000	0.967000	1513586305	17487	4426835	545061	30670680	12347096	
4.000000	blackscholes	1	1132	36.000000	5.040000	1.008000	1505832056	17266	4410797	536640	30515296	12259122	
4.000000	blackscholes	1	1132	36.000000	5.040000	0.967000	1497397750	16967	4410898	540228	30089169	12009854	
2.000000	blackscholes	1	1224	36.000000	5.040000	1.088000	1500575573	19611	4366599	543390	29917988	11868152	
4.000000	blackscholes	1	1224	36.000000	5.040000	1.088000	1503407164	19279	4361804	540067	30056504	11902493	
4.000000	blackscholes	1	1224	36.000000	5.040000	1.128000	1492130916	18751	4371459	539473	29998582	11991753	
2.000000	blackscholes	1	1428	36.000000	5.032000	1.368000	1537940443	16338	4339363	539003	29920196	11938378	
4.000000	blackscholes	1	1428	37.000000	5.032000	1.368000	1530092304	19672	4322742	539716	29748804	11903498	
4.000000	blackscholes	1	1428	37.000000	5.032000	1.368000	1539552227	19671	4367490	538402	30092695	12210873	
4.000000	blackscholes	1	1479	37.000000	5.032000	1.449000	1537524828	18944	4342320	533156	29702584	11875970	
2.000000	blackscholes	1	1479	37.000000	5.032000	1.449000	1530527109	19987	4377080	538272	29874873	11938404	
4.000000	blackscholes	1	1479	36.000000	5.024000	1.446000	1549077043	17111	4399322	537192	29920008	12073984	
16.000000	bodytrack	1	102	35.000000	5.072000	0.243000	1687768060	82867	4800286	602326	39628998	14801262	
18.000000	bodytrack	1	102	35.000000	5.072000	0.243000	1693146936	72819	4808792	599505	39413221	14634472	
24.000000	bodytrack	1	102	35.000000	5.072000	0.243000	1681411019	81305	4715326	599733	39446899	14566780	
6.000000	bodytrack	1	204	35.000000	5.064000	0.324000	1653605314	46686	4677854	583154	36418239	14061800	
8.000000	bodytrack	1	204	35.000000	5.064000	0.324000	1638766051	49986	4601714	576210	36179593	13965630	
8.000000	bodytrack	1	204	35.000000	5.072000	0.324000	1641060878	45235	4698920	586078	35852185	13963633	
4.000000	bodytrack	1	307	35.000000	5.064000	0.364000	1637854692	39949	4603955	576696	34913054	13713247	
6.000000	bodytrack	1	307	35.000000	5.064000	0.364000	1652104599	39102	4656817	581386	35317640	14006817	
6.000000	bodytrack	1	307	35.000000	5.064000	0.364000	1647885171	38158	4651783	576994	35019114	13776357	
4.000000	bodytrack	1	403	36.000000	5.064000	0.405000	1651336541	33550	4618018	575454	34267154	13660087	
6.000000	bodytrack	1	403	35.000000	5.064000	0.445000	1635803169	31722	4482889	563730	33677352	13439374	
4.000000	bodytrack	1	403	35.000000	5.064000	0.445000	1652662108	33519	4590045	578048	34307837	13677030	
4.000000	bodytrack	1	518	35.000000	5.064000	0.486000	1646109462	26712	4552568	570894	33736481	13581350	
4.000000	bodytrack	1	518	35.000000	5.064000	0.486000	1658433365	30461	4550923	570467	33623961	13445232	
4.000000	bodytrack	1	518	35.000000	5.064000	0.486000	1664582053	30156	4530524	570865	33561483	13357569	
4.000000	bodytrack	1	614	35.000000	5.064000	0.525000	1661093720	28253	4537348	570398	32906480	13151061	
4.000000	bodytrack	1	614	35.000000	5.064000	0.526000	1665766347	24312	4596502	573398	33170413	13304404	
4.000000	bodytrack	1	614	36.000000	5.064000	0.526000	1681500418	27067	4595379	570261	33396754	13479213	
4.000000	bodytrack	1	710	35.000000	5.056000	0.606000	1678292529	24996	4542994	565302	32747176	13155507	
4.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1670600181	23954	4546276	571800	32776402	13245596	
4.000000	bodytrack	1	710	36.000000	5.056000	0.566000	1680442286	25998	4586026	573243	32826776	13253868	
4.000000	bodytrack	1	921	36.000000	5.056000	0.728000	1707447851	29390	4547453	567908	32461572	13150788	
4.000000	bodytrack	1	921	36.000000	5.056000	0.728000	1706303480	24532	4498028	563906	32501773	13172640	
4.000000	bodytrack	1	921	35.000000	5.056000	0.728000	1724829392	23257	4517562	565394	32837997	13422390	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1738941146	20404	4557953	567831	32956688	13546702	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.807000	1727958541	20505	4517181	566249	32500734	13272656	
2.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1748253408	21811	4538588	570826	32567902	13325817	
4.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1737388581	21840	4507371	558648	32445731	13191928	
2.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1739399007	23428	4510506	565801	32251245	13182181	
2.000000	bodytrack	1	1132	36.000000	5.048000	0.888000	1721177869	21755	4482784	560237	31968806	13087145	
4.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1744935038	23298	4528037	560339	32032080	13033120	
4.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1754386231	24577	4516847	561560	32281309	13173177	
2.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1750528904	21619	4554908	565426	32453767	13269198	
2.000000	bodytrack	1	1428	37.000000	5.040000	1.249000	1777086208	21516	4545690	564974	31940450	13111589	
4.000000	bodytrack	1	1428	38.000000	5.040000	1.249000	1775581379	21016	4434700	562985	32046069	13208799	
2.000000	bodytrack	1	1428	36.000000	5.040000	1.209000	1782005724	19270	4540846	567117	32178104	13178092	
2.000000	bodytrack	1	1479	37.000000	5.032000	1.328000	1782580753	20648	4516852	565169	32112524	13177777	
2.000000	bodytrack	1	1479	37.000000	5.032000	1.328000	1789058251	20970	4508223	565360	32102898	13278791	
6.000000	bodytrack	1	1479	38.000000	5.032000	1.368000	1786032849	21461	4537055	566167	32095424	13208572	
14.000000	dedup	1	102	35.000000	5.072000	0.243000	1456389114	70731	4649687	575701	37588045	13777624	
14.000000	dedup	1	102	35.000000	5.072000	0.243000	1464471413	71732	4681400	576958	37594314	13696821	
16.000000	dedup	1	102	35.000000	5.072000	0.243000	1467384756	73338	4710422	581283	37702780	13722780	
8.000000	dedup	1	204	35.000000	5.064000	0.364000	1423371711	47024	4531763	557534	34210953	13040927	
10.000000	dedup	1	204	35.000000	5.064000	0.364000	1428159797	45329	4539721	564990	34274381	13170882	
10.000000	dedup	1	204	35.000000	5.064000	0.364000	1437737059	45927	4553920	558639	34362145	13029598	
6.000000	dedup	1	307	35.000000	5.056000	0.444000	1411109565	33978	4473913	546084	32939445	12822230	
6.000000	dedup	1	307	35.000000	5.056000	0.444000	1428422988	38652	4458717	555409	33071895	12750985	
6.000000	dedup	1	307	35.000000	5.056000	0.485000	1415648645	34526	4446233	549534	32905455	12715020	
4.000000	dedup	1	403	35.000000	5.056000	0.525000	1429535700	31276	4471889	547399	32250267	12647209	
4.000000	dedup	1	403	36.000000	5.048000	0.524000	1423982351	31060	4388672	549171	32293000	12606227	
4.000000	dedup	1	403	35.000000	5.048000	0.524000	1426194922	28827	4506291	551646	32452278	12652136	
2.000000	dedup	1	518	35.000000	5.048000	0.605000	1436213138	28723	4397805	544120	32084006	12554509	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1437799779	26661	4423064	542974	31587455	12525382	
4.000000	dedup	1	518	36.000000	5.048000	0.565000	1439072352	27098	4395549	547814	31935485	12592330	
4.000000	dedup	1	614	36.000000	5.048000	0.686000	1446199296	24218	4420831	541557	31660975	12574188	
4.000000	dedup	1	614	36.000000	5.048000	0.646000	1450690732	24517	4458241	545224	31604345	12591446	
4.000000	dedup	1	614	36.000000	5.048000	0.686000	1446556884	24982	4407919	545124	31474922	12458233	
2.000000	dedup	1	710	36.000000	5.040000	0.725000	1446293441	21905	4380855	539711	31159772	12391031	
4.000000	dedup	1	710	36.000000	5.048000	0.726000	1456263111	20685	4374718	539533	31043892	12208215	
2.000000	dedup	1	710	36.000000	5.040000	0.726000	1461848857	25277	4407804	543619	31480547	12555734	
2.000000	dedup	1	921	36.000000	5.040000	0.887000	1489370338	22494	4421919	544285	30833034	12297868	
2.000000	dedup	1	921	36.000000	5.040000	0.887000	1480384736	19596	4443061	545618	30773823	12319478	
2.000000	dedup	1	921	36.000000	5.040000	0.846000	1479916517	21258	4374918	540149	30708219	12206758	
4.000000	dedup	1	1036	36.000000	5.040000	0.967000	1504995138	20584	4383410	539613	30744033	12331252	
4.000000	dedup	1	1036	36.000000	5.040000	0.927000	1498767675	19473	4385222	543474	30704767	12428561	
4.000000	dedup	1	1036	36.000000	5.040000	0.967000	1498634007	19939	4375869	539883	30686856	12263682	
4.000000	dedup	1	1132	36.000000	5.040000	1.008000	1503404092	18820	4407500	539844	30658264	12256065	
2.000000	dedup	1	1132	37.000000	5.040000	1.008000	1507739183	18166	4336325	537232	30758318	12381784	
2.000000	dedup	1	1132	36.000000	5.040000	0.967000	1511248093	18019	4375484	539731	31188333	12815024	
4.000000	dedup	1	1224	36.000000	5.040000	1.046000	1510472146	18584	4320873	537777	30229653	12118862	
2.000000	dedup	1	1224	36.000000	5.032000	1.127000	1534028496	22803	4396707	543372	30761265	12418916	
2.000000	dedup	1	1224	37.000000	5.032000	1.167000	1525716522	20430	4359789	541235	30592644	12310981	
2.000000	dedup	1	1428	37.000000	5.024000	1.368000	1548297088	20739	4366371	541664	30303090	12214526	
2.000000	dedup	1	1428	37.000000	5.032000	1.288000	1537270381	18544	4386671	539254	30279889	12198878	
4.000000	dedup	1	1428	37.000000	5.032000	1.408000	1548330353	18573	4405631	537629	30478443	12284647	
2.000000	dedup	1	1479	37.000000	5.024000	1.406000	1555056922	20555	4388078	543464	30343612	12286942	
2.000000	dedup	1	1479	37.000000	5.024000	1.446000	1560832403	18880	4397064	544661	30586056	12349360	
2.000000	dedup	1	1479	37.000000	5.024000	1.406000	1564250082	19045	4331362	536791	30422257	12314433	
