Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L2D_CACHE_REFILL_LD	L2D_CACHE_REFILL_ST	L2D_CACHE_WB_VICTIM	L2D_CACHE_WB_CLEAN	L2D_CACHE_INVAL
24.000000	blackscholes	1	102	36.000000	5.072000	0.243000	1439691838	5327539	1040586	1360754	0	0	
20.000000	blackscholes	1	102	36.000000	5.064000	0.283000	1449132329	5487792	1059459	1364632	0	0	
14.000000	blackscholes	1	102	35.000000	5.072000	0.243000	1466677218	5276286	1027926	1367791	0	0	
6.000000	blackscholes	1	204	36.000000	5.064000	0.364000	1407390631	4743748	1006391	1316535	0	0	
10.000000	blackscholes	1	204	36.000000	5.056000	0.404000	1400892317	4444417	972349	1291640	0	0	
8.000000	blackscholes	1	204	35.000000	5.064000	0.364000	1421231905	4726424	997154	1312322	0	0	
6.000000	blackscholes	1	307	36.000000	5.056000	0.444000	1405297756	4429323	997388	1307430	0	0	
6.000000	blackscholes	1	307	36.000000	5.056000	0.444000	1414411579	4461951	982926	1309449	0	0	
4.000000	blackscholes	1	307	36.000000	5.056000	0.444000	1411399299	4469648	995294	1302383	0	0	
6.000000	blackscholes	1	403	36.000000	5.056000	0.525000	1406884360	4122015	964273	1287804	0	0	
6.000000	blackscholes	1	403	36.000000	5.056000	0.525000	1405001072	4236146	973300	1281703	0	0	
4.000000	blackscholes	1	403	36.000000	5.056000	0.524000	1400617062	4353725	1000316	1322606	0	0	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1436604876	4118786	979735	1298420	0	0	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1413679457	3860101	941685	1259714	0	0	
6.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1422280577	4069427	987078	1301371	0	0	
4.000000	blackscholes	1	614	36.000000	5.048000	0.646000	1428968008	3945158	961095	1272057	0	0	
2.000000	blackscholes	1	614	36.000000	5.048000	0.686000	1433825383	4005866	971044	1288776	0	0	
2.000000	blackscholes	1	614	36.000000	5.048000	0.646000	1441891214	4105312	981787	1304842	0	0	
2.000000	blackscholes	1	710	36.000000	5.048000	0.767000	1449714953	3930107	981801	1302942	0	0	
4.000000	blackscholes	1	710	36.000000	5.048000	0.726000	1448379852	3923941	968215	1276606	0	0	
4.000000	blackscholes	1	710	36.000000	5.048000	0.726000	1444304674	3966211	984022	1297454	0	0	
2.000000	blackscholes	1	921	36.000000	5.040000	0.927000	1483801131	3774331	969802	1286875	0	0	
4.000000	blackscholes	1	921	36.000000	5.040000	0.887000	1490381302	3789577	960045	1286602	0	0	
4.000000	blackscholes	1	921	36.000000	5.040000	0.846000	1469862216	3710412	953722	1268806	0	0	
2.000000	blackscholes	1	1036	36.000000	5.040000	0.967000	1479587095	3635688	931827	1244225	0	0	
4.000000	blackscholes	1	1036	36.000000	5.040000	0.967000	1481246757	3638164	941344	1260829	2	0	
4.000000	blackscholes	1	1036	36.000000	5.048000	0.887000	1487293421	3695951	953615	1258067	0	0	
4.000000	blackscholes	1	1132	36.000000	5.040000	0.927000	1490891156	3618623	950564	1256255	0	0	
2.000000	blackscholes	1	1132	36.000000	5.040000	0.927000	1490125207	3736993	960829	1261614	0	0	
4.000000	blackscholes	1	1132	36.000000	5.040000	0.927000	1487996136	3605984	924920	1238997	0	0	
2.000000	blackscholes	1	1224	36.000000	5.040000	1.128000	1513035558	3714408	974361	1297955	0	0	
4.000000	blackscholes	1	1224	36.000000	5.040000	1.128000	1508786712	3650566	953453	1262106	0	0	
4.000000	blackscholes	1	1224	37.000000	5.040000	1.128000	1519138018	3663916	959258	1277156	0	0	
4.000000	blackscholes	1	1428	37.000000	5.032000	1.288000	1535656837	3554585	948133	1266639	0	0	
4.000000	blackscholes	1	1428	37.000000	5.032000	1.368000	1535064381	3654039	970085	1293900	0	0	
2.000000	blackscholes	1	1428	37.000000	5.032000	1.368000	1526312770	3628543	954390	1266776	0	0	
4.000000	blackscholes	1	1479	37.000000	5.032000	1.408000	1561955214	3631491	965105	1289916	0	0	
2.000000	blackscholes	1	1479	37.000000	5.032000	1.408000	1545119723	3581229	950000	1261759	0	0	
2.000000	blackscholes	1	1479	37.000000	5.032000	1.449000	1551311814	3693021	979926	1303437	0	0	
16.000000	bodytrack	1	102	35.000000	5.064000	0.243000	1689505074	5615439	1204362	1486345	0	0	
14.000000	bodytrack	1	102	36.000000	5.072000	0.243000	1686747814	5661184	1227930	1496371	0	0	
14.000000	bodytrack	1	102	35.000000	5.072000	0.243000	1697594027	5582931	1183626	1474960	0	0	
6.000000	bodytrack	1	204	35.000000	5.064000	0.324000	1650101405	5203800	1183505	1478504	0	0	
8.000000	bodytrack	1	204	35.000000	5.064000	0.324000	1660065796	5236751	1176945	1457462	0	0	
8.000000	bodytrack	1	204	36.000000	5.064000	0.324000	1646547676	4883141	1140720	1430443	0	0	
4.000000	bodytrack	1	307	35.000000	5.064000	0.364000	1649290708	4930429	1159867	1459910	0	0	
6.000000	bodytrack	1	307	35.000000	5.064000	0.364000	1642307369	4820123	1143324	1436331	0	0	
6.000000	bodytrack	1	307	35.000000	5.064000	0.364000	1635022991	4801159	1156412	1442379	0	0	
4.000000	bodytrack	1	403	35.000000	5.064000	0.405000	1645701577	4626531	1133366	1427590	0	0	
6.000000	bodytrack	1	403	35.000000	5.064000	0.445000	1632411783	4484531	1139202	1441900	0	0	
4.000000	bodytrack	1	403	35.000000	5.064000	0.445000	1650313723	4655379	1140944	1435190	0	0	
4.000000	bodytrack	1	518	35.000000	5.064000	0.486000	1659776671	4483516	1133812	1430531	0	0	
4.000000	bodytrack	1	518	36.000000	5.064000	0.486000	1643605836	4404155	1103359	1401174	0	0	
4.000000	bodytrack	1	518	35.000000	5.064000	0.486000	1659419490	4528067	1147011	1421570	0	0	
4.000000	bodytrack	1	614	35.000000	5.064000	0.526000	1672072931	4403086	1133284	1435591	0	0	
4.000000	bodytrack	1	614	35.000000	5.064000	0.526000	1665565418	4436660	1134609	1432996	0	0	
4.000000	bodytrack	1	614	36.000000	5.064000	0.526000	1672783461	4399053	1135828	1421458	0	0	
4.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1679607536	4255081	1117916	1398354	0	0	
4.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1687904933	4189204	1121960	1401986	0	0	
4.000000	bodytrack	1	710	36.000000	5.056000	0.566000	1682773670	4316873	1108626	1414405	0	0	
4.000000	bodytrack	1	921	35.000000	5.056000	0.728000	1701289350	4175033	1107542	1396066	0	0	
2.000000	bodytrack	1	921	36.000000	5.048000	0.686000	1713491371	4185647	1130264	1411444	0	0	
4.000000	bodytrack	1	921	36.000000	5.056000	0.726000	1717794691	4181190	1138445	1427226	0	0	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1730470425	4110811	1105692	1391718	0	0	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1722541468	4067866	1108147	1397265	0	0	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1725035818	4012286	1109016	1400952	0	0	
4.000000	bodytrack	1	1132	37.000000	5.048000	0.888000	1732244880	4007582	1108702	1395024	0	0	
2.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1744133122	4035571	1111895	1413153	0	0	
4.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1724142390	3993393	1119789	1409039	0	0	
4.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1749930185	4062954	1123351	1423831	0	0	
4.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1737230556	4029141	1111065	1407165	0	0	
2.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1746099161	4014197	1112539	1413447	0	0	
4.000000	bodytrack	1	1428	37.000000	5.040000	1.209000	1780488653	3969080	1128628	1419466	0	0	
4.000000	bodytrack	1	1428	37.000000	5.032000	1.247000	1778467810	3921120	1120014	1401329	0	0	
4.000000	bodytrack	1	1428	36.000000	5.040000	1.209000	1769651450	3965655	1100785	1388371	0	0	
4.000000	bodytrack	1	1479	37.000000	5.032000	1.247000	1796368828	3962531	1110683	1406601	0	0	
4.000000	bodytrack	1	1479	38.000000	5.032000	1.368000	1799529092	3992843	1115643	1408230	0	0	
2.000000	bodytrack	1	1479	38.000000	5.032000	1.247000	1796745806	4048126	1119643	1424306	0	0	
18.000000	dedup	1	102	35.000000	5.072000	0.243000	1458890974	5489502	1159350	1498741	0	0	
20.000000	dedup	1	102	35.000000	5.072000	0.243000	1473964508	5528540	1136791	1456848	0	0	
26.000000	dedup	1	102	35.000000	5.072000	0.243000	1454690309	5437802	1148033	1464697	0	0	
8.000000	dedup	1	204	35.000000	5.064000	0.364000	1414438225	4860895	1082614	1408191	0	0	
8.000000	dedup	1	204	35.000000	5.064000	0.364000	1422338980	4593098	1066191	1395514	0	0	
10.000000	dedup	1	204	35.000000	5.064000	0.364000	1427092978	4884386	1099614	1436147	0	0	
8.000000	dedup	1	307	35.000000	5.056000	0.444000	1410105369	4447879	1073579	1413460	0	0	
4.000000	dedup	1	307	36.000000	5.056000	0.485000	1423925307	4603683	1076845	1417193	0	0	
6.000000	dedup	1	307	35.000000	5.056000	0.485000	1416146872	4571303	1094484	1422600	0	0	
4.000000	dedup	1	403	35.000000	5.048000	0.525000	1433406677	4296236	1071009	1412593	0	0	
4.000000	dedup	1	403	36.000000	5.056000	0.525000	1418739272	4333716	1063440	1397109	0	0	
6.000000	dedup	1	403	35.000000	5.056000	0.525000	1434928569	4333800	1073793	1403787	0	0	
4.000000	dedup	1	518	35.000000	5.048000	0.605000	1423421053	4257084	1066543	1415961	0	0	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1419917245	3885465	1030564	1363901	0	0	
4.000000	dedup	1	518	35.000000	5.048000	0.605000	1437769802	4192467	1046413	1396377	0	0	
4.000000	dedup	1	614	36.000000	5.048000	0.686000	1437753044	4067311	1066659	1406888	0	0	
6.000000	dedup	1	614	36.000000	5.048000	0.686000	1443064107	4069506	1042399	1391807	0	0	
6.000000	dedup	1	614	35.000000	5.048000	0.686000	1436317541	4084088	1061030	1409862	0	0	
4.000000	dedup	1	710	36.000000	5.048000	0.726000	1453553968	3979525	1052887	1410960	0	0	
4.000000	dedup	1	710	36.000000	5.048000	0.726000	1464212571	4327097	1076573	1447533	0	0	
4.000000	dedup	1	710	36.000000	5.048000	0.726000	1469268515	4097823	1064910	1412571	0	0	
4.000000	dedup	1	921	36.000000	5.040000	0.806000	1498665636	3863822	1048797	1391463	0	0	
2.000000	dedup	1	921	36.000000	5.048000	0.807000	1487512364	3942395	1048715	1408987	0	0	
2.000000	dedup	1	921	36.000000	5.040000	0.846000	1480116065	3898236	1051348	1395584	0	0	
2.000000	dedup	1	1036	36.000000	5.040000	0.927000	1496788154	3814003	1047044	1394480	0	0	
2.000000	dedup	1	1036	36.000000	5.040000	0.927000	1503946943	3780972	1051438	1402234	0	0	
2.000000	dedup	1	1036	36.000000	5.040000	1.008000	1503186309	3948619	1062802	1441614	0	0	
4.000000	dedup	1	1132	36.000000	5.040000	0.967000	1514349170	3836093	1062478	1413901	0	0	
2.000000	dedup	1	1132	36.000000	5.040000	0.967000	1495131290	3812598	1030739	1373488	0	0	
2.000000	dedup	1	1132	36.000000	5.040000	1.008000	1495483877	3809998	1046135	1413660	0	0	
2.000000	dedup	1	1224	36.000000	5.032000	1.086000	1519919033	3822677	1056226	1415870	0	0	
2.000000	dedup	1	1224	36.000000	5.032000	1.167000	1512538210	3802599	1061336	1427496	0	0	
4.000000	dedup	1	1224	36.000000	5.040000	1.128000	1505369021	3748057	1027093	1396055	0	0	
2.000000	dedup	1	1428	37.000000	5.032000	1.449000	1561484785	3825158	1068557	1436646	0	0	
2.000000	dedup	1	1428	37.000000	5.024000	1.408000	1561678633	3770712	1069549	1446476	0	0	
4.000000	dedup	1	1428	36.000000	5.032000	1.408000	1532611716	3645257	1039872	1405961	0	0	
4.000000	dedup	1	1479	37.000000	5.024000	1.527000	1554969400	3678613	1049293	1413581	0	0	
4.000000	dedup	1	1479	37.000000	5.024000	1.527000	1569251517	3781473	1076647	1440622	0	0	
2.000000	dedup	1	1479	37.000000	5.024000	1.527000	1555929201	3721657	1050642	1418997	0	0	
16.000000	ferret	1	102	35.000000	5.072000	0.243000	1470214786	5222147	1062207	1380777	0	0	
14.000000	ferret	1	102	35.000000	5.072000	0.243000	1474825073	5021820	1024690	1360985	0	0	
24.000000	ferret	1	102	35.000000	5.072000	0.243000	1459329538	5011847	1041823	1367095	0	0	
8.000000	ferret	1	204	35.000000	5.064000	0.324000	1440995538	4732716	1033046	1353213	0	0	
8.000000	ferret	1	204	35.000000	5.072000	0.324000	1444556986	4903666	1056017	1365812	0	0	
8.000000	ferret	1	204	35.000000	5.064000	0.324000	1432441042	4813401	1058032	1363388	0	0	
4.000000	ferret	1	307	35.000000	5.072000	0.365000	1433257111	4267172	1012860	1337924	0	0	
4.000000	ferret	1	307	35.000000	5.064000	0.364000	1442874261	4543846	1028406	1337478	0	0	
4.000000	ferret	1	307	35.000000	5.064000	0.364000	1441910217	4304109	990767	1319646	0	0	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1443665184	4359312	1022804	1342720	0	0	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1440127078	4348451	1012879	1332134	0	0	
6.000000	ferret	1	403	35.000000	5.072000	0.405000	1438588955	4345882	1038165	1335480	0	0	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1450913554	4130616	1002106	1314067	0	0	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1455484950	4190802	993118	1311414	0	0	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1452418408	4225281	1013946	1318370	0	0	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1458282997	4062259	1032642	1330676	0	0	
2.000000	ferret	1	614	35.000000	5.072000	0.446000	1457674527	4056255	1034991	1335076	0	0	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1448293065	4033163	1006587	1298754	0	0	
4.000000	ferret	1	710	36.000000	5.064000	0.526000	1485473701	3974797	991915	1314160	0	0	
4.000000	ferret	1	710	36.000000	5.064000	0.486000	1472274559	3906601	1000223	1308224	0	0	
4.000000	ferret	1	710	35.000000	5.064000	0.486000	1475659367	3953289	992228	1296710	0	0	
4.000000	ferret	1	921	35.000000	5.064000	0.567000	1508074182	3886286	999261	1310556	0	0	
2.000000	ferret	1	921	35.000000	5.064000	0.567000	1509777814	3876952	992973	1312430	0	0	
2.000000	ferret	1	921	36.000000	5.064000	0.567000	1500294161	3869065	1005799	1312742	0	0	
2.000000	ferret	1	1036	36.000000	5.040000	0.927000	1510008709	3795709	990574	1295120	0	0	
2.000000	ferret	1	1036	35.000000	5.064000	0.607000	1507327138	3732171	988136	1292746	0	0	
2.000000	ferret	1	1036	36.000000	5.064000	0.607000	1521111001	3772265	1000984	1306980	0	0	
4.000000	ferret	1	1132	36.000000	5.064000	0.648000	1515115512	3708591	964613	1283373	0	0	
2.000000	ferret	1	1132	35.000000	5.064000	0.648000	1518612971	3791364	1013673	1326879	0	0	
2.000000	ferret	1	1132	36.000000	5.064000	0.648000	1530166689	3794993	1010146	1326719	0	0	
2.000000	ferret	1	1224	36.000000	5.064000	0.728000	1521251695	3655249	997224	1301472	0	0	
2.000000	ferret	1	1224	36.000000	5.064000	0.688000	1538041092	3727775	990313	1302270	0	0	
2.000000	ferret	1	1224	36.000000	5.064000	0.729000	1543117218	3728930	993744	1296200	0	0	
2.000000	ferret	1	1428	36.000000	5.056000	0.930000	1567174088	3712786	1008222	1325916	0	0	
4.000000	ferret	1	1428	36.000000	5.056000	0.930000	1562964816	3688725	988753	1303234	0	0	
4.000000	ferret	1	1428	36.000000	5.056000	0.930000	1564502520	3655770	1001310	1312615	0	0	
2.000000	ferret	1	1479	36.000000	5.056000	0.970000	1569692685	3642915	1001229	1316389	0	0	
4.000000	ferret	1	1479	37.000000	5.056000	0.970000	1572341682	3729899	1017822	1316875	0	0	
4.000000	ferret	1	1479	36.000000	5.048000	1.049000	1581741425	3716163	1003818	1317490	0	0	
12.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1485967625	5231410	1125282	1409338	0	0	
18.000000	fluidanimate	1	102	35.000000	5.064000	0.243000	1492611000	5411588	1136904	1405163	0	0	
18.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1484231328	5397960	1126000	1388917	0	0	
10.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1466530290	4844597	1086083	1354027	0	0	
8.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1453444938	4480069	1060478	1347121	0	0	
8.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1444855706	4800519	1082007	1356020	0	0	
8.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1456146669	4446892	1057749	1344569	0	0	
4.000000	fluidanimate	1	307	35.000000	5.064000	0.444000	1457571553	4612275	1087308	1370045	0	0	
8.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1457702041	4585703	1082218	1355767	0	0	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.485000	1452500299	4150220	1078894	1368957	0	0	
4.000000	fluidanimate	1	403	35.000000	5.048000	0.525000	1458486778	4322913	1078289	1344963	0	0	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.485000	1457632920	4267193	1064643	1336617	0	0	
4.000000	fluidanimate	1	518	35.000000	5.056000	0.566000	1468618536	4153096	1067951	1348962	0	0	
4.000000	fluidanimate	1	518	35.000000	5.048000	0.565000	1458611675	3931631	1040172	1338469	0	0	
4.000000	fluidanimate	1	518	36.000000	5.048000	0.565000	1456137463	4136001	1042976	1330805	0	0	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.605000	1472687667	4014717	1073378	1347292	0	0	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1465166455	3959942	1064313	1342939	0	0	
2.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1477627843	4049241	1069206	1350096	0	0	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.726000	1488818222	3945103	1058081	1359664	0	0	
2.000000	fluidanimate	1	710	36.000000	5.048000	0.726000	1482613187	3973894	1053050	1345194	0	0	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.726000	1490085164	3949254	1049300	1336796	0	0	
2.000000	fluidanimate	1	921	36.000000	5.048000	0.807000	1506949792	3798169	1047971	1324402	0	0	
2.000000	fluidanimate	1	921	36.000000	5.048000	0.807000	1511701966	3772137	1036260	1308912	0	0	
2.000000	fluidanimate	1	921	36.000000	5.040000	0.846000	1520290405	3831858	1037055	1322497	0	0	
4.000000	fluidanimate	1	1036	37.000000	5.040000	0.967000	1540284784	3794048	1062731	1348059	0	0	
2.000000	fluidanimate	1	1036	36.000000	5.040000	0.846000	1533664043	3748317	1027728	1314385	0	0	
2.000000	fluidanimate	1	1036	36.000000	5.032000	1.006000	1537153846	3771449	1042628	1335548	0	0	
4.000000	fluidanimate	1	1132	36.000000	5.032000	1.046000	1549249896	3813525	1069419	1389167	0	0	
4.000000	fluidanimate	1	1132	36.000000	5.040000	0.927000	1559159864	3810135	1044166	1349206	0	0	
4.000000	fluidanimate	1	1132	36.000000	5.040000	1.006000	1553610135	3826232	1047582	1343216	0	0	
2.000000	fluidanimate	1	1224	36.000000	5.040000	1.048000	1543354017	3753844	1046243	1333570	0	0	
2.000000	fluidanimate	1	1224	36.000000	5.040000	1.048000	1558696609	3700858	1054117	1324901	0	0	
4.000000	fluidanimate	1	1224	36.000000	5.032000	1.127000	1556026575	3786411	1061171	1355175	0	0	
2.000000	fluidanimate	1	1428	36.000000	5.016000	1.524000	1584501738	3650449	1045334	1342502	0	0	
2.000000	fluidanimate	1	1428	37.000000	5.016000	1.444000	1570061502	3612085	1060566	1343516	0	0	
4.000000	fluidanimate	1	1428	36.000000	5.016000	1.404000	1607883376	3674530	1056226	1350702	0	0	
2.000000	fluidanimate	1	1479	37.000000	5.016000	1.444000	1570745416	3509812	1029183	1319229	0	0	
2.000000	fluidanimate	1	1479	37.000000	5.008000	1.484000	1595391061	3672183	1043242	1336341	0	0	
2.000000	fluidanimate	1	1479	37.000000	5.016000	1.524000	1578747449	3640907	1036265	1330004	0	0	
24.000000	freqmine	1	102	35.000000	5.064000	0.243000	1462865473	4979099	1057777	1374902	0	0	
16.000000	freqmine	1	102	35.000000	5.064000	0.243000	1466489149	5357084	1093311	1389514	0	0	
14.000000	freqmine	1	102	35.000000	5.064000	0.243000	1469940815	5327215	1077344	1375487	0	0	
8.000000	freqmine	1	204	35.000000	5.064000	0.364000	1421559035	4778386	1069480	1343428	0	0	
10.000000	freqmine	1	204	35.000000	5.064000	0.364000	1427908243	4585506	1041970	1354762	0	0	
14.000000	freqmine	1	204	35.000000	5.064000	0.364000	1439972486	4893820	1065160	1354503	0	0	
4.000000	freqmine	1	307	35.000000	5.048000	0.444000	1426132430	4421652	1036940	1340979	0	0	
6.000000	freqmine	1	307	35.000000	5.056000	0.444000	1427728894	4461607	1031791	1324176	0	0	
6.000000	freqmine	1	307	35.000000	5.056000	0.444000	1440055817	4519361	1036832	1342189	0	0	
4.000000	freqmine	1	403	36.000000	5.056000	0.485000	1434554011	4166530	1033839	1334906	0	0	
4.000000	freqmine	1	403	35.000000	5.056000	0.485000	1432037395	4278057	1029441	1321415	0	0	
6.000000	freqmine	1	403	35.000000	5.056000	0.485000	1433524348	4348732	1035930	1330364	0	0	
4.000000	freqmine	1	518	35.000000	5.048000	0.565000	1437421174	4109008	1016846	1320316	0	0	
4.000000	freqmine	1	518	35.000000	5.056000	0.566000	1443154718	3955889	996826	1308312	0	0	
4.000000	freqmine	1	518	35.000000	5.048000	0.565000	1439877368	4167341	1006024	1308040	0	0	
2.000000	freqmine	1	614	36.000000	5.056000	0.606000	1459602737	4066525	1030051	1338592	0	0	
4.000000	freqmine	1	614	36.000000	5.048000	0.646000	1458500896	3994972	1014925	1311026	0	0	
4.000000	freqmine	1	614	36.000000	5.048000	0.605000	1464818990	4062720	1022028	1331055	0	0	
4.000000	freqmine	1	710	36.000000	5.048000	0.686000	1459762334	3851914	998538	1296778	0	0	
4.000000	freqmine	1	710	36.000000	5.048000	0.646000	1469481939	3970042	1012203	1314331	0	0	
4.000000	freqmine	1	710	36.000000	5.048000	0.686000	1464502106	3929138	1015114	1313709	0	0	
4.000000	freqmine	1	921	36.000000	5.040000	0.846000	1502756466	3830510	1021775	1329829	0	0	
2.000000	freqmine	1	921	36.000000	5.040000	0.806000	1494228828	3805662	1019293	1317953	0	0	
4.000000	freqmine	1	921	36.000000	5.040000	0.806000	1486733833	3805962	1012015	1298277	0	0	
2.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1508140614	3717207	1000433	1298392	0	0	
2.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1503584266	3771074	1010728	1311811	0	0	
2.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1517042600	3737201	1011816	1306678	0	0	
4.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1519380321	3706473	997160	1298624	0	0	
2.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1523631313	3772497	1006477	1310438	0	0	
4.000000	freqmine	1	1132	36.000000	5.048000	0.848000	1515370129	3735787	1018084	1324381	0	0	
4.000000	freqmine	1	1224	36.000000	5.032000	1.086000	1543556350	3784302	1018100	1329690	0	0	
2.000000	freqmine	1	1224	36.000000	5.032000	1.046000	1536683670	3710108	1007527	1311998	0	0	
2.000000	freqmine	1	1224	36.000000	5.032000	1.086000	1531735011	3724196	998361	1307864	0	0	
4.000000	freqmine	1	1428	37.000000	5.024000	1.446000	1568028348	3644921	1013755	1331260	0	0	
2.000000	freqmine	1	1428	37.000000	5.016000	1.484000	1580662454	3767140	1030583	1350030	0	0	
4.000000	freqmine	1	1428	37.000000	5.032000	1.288000	1573225242	3615921	999695	1317757	0	0	
4.000000	freqmine	1	1479	36.000000	5.024000	1.366000	1565286754	3662584	1020651	1314908	0	0	
4.000000	freqmine	1	1479	37.000000	5.024000	1.406000	1571157702	3621813	1021689	1317183	0	0	
2.000000	freqmine	1	1479	37.000000	5.024000	1.487000	1577502086	3696559	1016394	1316860	0	0	
26.000000	streamcluster	1	102	35.000000	5.064000	0.283000	1440865145	5038571	1019263	1337287	0	0	
18.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1446914325	5326012	1036730	1362334	0	0	
24.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1428955153	5166282	1013084	1312549	0	0	
10.000000	streamcluster	1	204	35.000000	5.064000	0.364000	1390305775	4687871	1006578	1308764	0	0	
12.000000	streamcluster	1	204	35.000000	5.056000	0.364000	1407069236	4494546	980130	1296533	0	0	
8.000000	streamcluster	1	204	35.000000	5.056000	0.364000	1400500920	4714610	1001540	1307271	0	0	
6.000000	streamcluster	1	307	35.000000	5.056000	0.485000	1401322346	4369118	970117	1284576	0	0	
6.000000	streamcluster	1	307	35.000000	5.048000	0.524000	1397049110	4404505	993669	1296114	0	0	
6.000000	streamcluster	1	307	35.000000	5.048000	0.484000	1387714548	4446795	990354	1297460	0	0	
