Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BUS_ACCESS_LD	BUS_ACCESS_ST	BUS_ACCESS_SHARED	BUS_ACCESS_NOT_SHARED	BUS_ACCESS_NORMAL
16.000000	blackscholes	1	102	35.000000	5.072000	0.243000	1454126557	26175386	10844600	0	37019986	36990429	
14.000000	blackscholes	1	102	35.000000	5.072000	0.243000	1453697308	26000797	10780291	0	36781088	36749714	
36.000000	blackscholes	1	102	35.000000	5.072000	0.284000	1443582534	25501078	10447095	0	35948173	35916850	
6.000000	blackscholes	1	204	35.000000	5.056000	0.364000	1406001480	23079158	10372352	0	33451510	33435033	
8.000000	blackscholes	1	204	36.000000	5.056000	0.364000	1406434134	22053256	10262277	0	32315533	32299213	
8.000000	blackscholes	1	204	35.000000	5.056000	0.404000	1413335319	23427092	10449301	0	33876393	33860571	
6.000000	blackscholes	1	307	36.000000	5.048000	0.484000	1395929449	21268059	10267846	0	31535905	31525404	
4.000000	blackscholes	1	307	35.000000	5.056000	0.485000	1396165424	21685583	10265621	0	31951204	31940817	
6.000000	blackscholes	1	307	35.000000	5.056000	0.485000	1411720208	21652391	10227991	0	31880382	31869002	
4.000000	blackscholes	1	403	35.000000	5.056000	0.524000	1418703024	20426184	10237127	0	30663311	30654355	
6.000000	blackscholes	1	403	36.000000	5.048000	0.524000	1401252142	20815619	10305723	0	31121342	31112810	
4.000000	blackscholes	1	403	35.000000	5.056000	0.525000	1411935339	20868767	10145686	0	31014453	31005688	
2.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1422027875	20624726	10317391	0	30942117	30935143	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1434815644	19866704	10246032	0	30112736	30105993	
4.000000	blackscholes	1	518	36.000000	5.048000	0.605000	1420784798	20175572	10309184	0	30484756	30477453	
2.000000	blackscholes	1	614	36.000000	5.048000	0.686000	1434026244	19917817	10357846	0	30275663	30269813	
2.000000	blackscholes	1	614	36.000000	5.048000	0.646000	1440427321	20008468	10238840	0	30247308	30240875	
4.000000	blackscholes	1	614	36.000000	5.048000	0.686000	1433690858	20162741	10287749	0	30450490	30444797	
2.000000	blackscholes	1	710	36.000000	5.048000	0.767000	1437340843	19420480	10185199	0	29605679	29599825	
4.000000	blackscholes	1	710	36.000000	5.048000	0.726000	1441332797	19490995	10120330	0	29611325	29606083	
2.000000	blackscholes	1	710	36.000000	5.048000	0.767000	1430780692	19391540	10068295	0	29459835	29453952	
4.000000	blackscholes	1	921	36.000000	5.040000	0.887000	1470066650	18946486	10170488	0	29116974	29112913	
2.000000	blackscholes	1	921	36.000000	5.040000	0.887000	1476044555	19299738	10130908	0	29430646	29426381	
2.000000	blackscholes	1	921	36.000000	5.040000	0.887000	1488282086	19280675	10290987	0	29571662	29567540	
4.000000	blackscholes	1	1036	36.000000	5.048000	0.967000	1479830848	18678875	10020711	0	28699586	28695637	
2.000000	blackscholes	1	1036	36.000000	5.040000	0.927000	1482543411	18569666	10026852	0	28596518	28592795	
4.000000	blackscholes	1	1036	36.000000	5.040000	0.927000	1499946235	18759502	10134027	0	28893529	28889407	
4.000000	blackscholes	1	1132	36.000000	5.040000	1.008000	1504707775	19079127	10338457	0	29417584	29413570	
2.000000	blackscholes	1	1132	36.000000	5.040000	0.887000	1501904941	18799896	10178970	0	28978866	28974560	
2.000000	blackscholes	1	1132	36.000000	5.040000	0.927000	1488490905	18906806	10134725	0	29041531	29037313	
4.000000	blackscholes	1	1224	36.000000	5.040000	1.088000	1505162965	18491505	10124162	0	28615667	28612008	
2.000000	blackscholes	1	1224	36.000000	5.040000	1.088000	1500745966	18299176	9981327	0	28280503	28277077	
4.000000	blackscholes	1	1224	36.000000	5.040000	1.128000	1496934607	18110105	9930289	0	28040394	28036569	
2.000000	blackscholes	1	1428	36.000000	5.032000	1.328000	1537534158	18248168	10058791	0	28306959	28303890	
2.000000	blackscholes	1	1428	36.000000	5.032000	1.368000	1527292454	17939697	9914442	0	27854139	27850953	
4.000000	blackscholes	1	1428	37.000000	5.032000	1.326000	1557104876	18466111	10146860	0	28612971	28609469	
2.000000	blackscholes	1	1479	37.000000	5.024000	1.449000	1535587764	18391327	10093124	0	28484451	28481150	
