Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
13.828125	blackscholes	1	102	21.000000	5.072000	0.202000	1487418872	9248867	234084756	460161061	585901478	4561078	
20.250000	blackscholes	1	102	22.000000	5.072000	0.202000	1504263746	9183526	233636817	458970678	584785147	4635301	
23.046875	blackscholes	1	102	22.000000	5.072000	0.243000	1503871491	9288719	236174957	463531323	590355556	4590670	
6.718750	blackscholes	1	204	22.000000	5.064000	0.324000	1447193328	8702334	228428856	448272186	568167354	4292591	
7.703125	blackscholes	1	204	22.000000	5.064000	0.324000	1398779325	8505530	227714499	446516656	563872444	4204128	
7.453125	blackscholes	1	204	22.000000	5.064000	0.324000	1418102382	8604221	230353770	450791354	569907281	4229742	
6.703125	blackscholes	1	307	23.000000	5.056000	0.404000	1417238858	8384963	230165942	450348341	567565370	4213944	
5.296875	blackscholes	1	307	23.000000	5.056000	0.404000	1395297955	8371056	226019608	442584760	558782998	4051114	
5.281250	blackscholes	1	307	23.000000	5.056000	0.404000	1402734974	8449170	227311467	445234566	561794421	4118364	
4.421875	blackscholes	1	403	23.000000	5.056000	0.485000	1408425181	8280202	226954216	443949008	559111536	4176576	
4.578125	blackscholes	1	403	23.000000	5.056000	0.444000	1396924451	8247107	224032002	439027572	554905039	4028873	
5.062500	blackscholes	1	403	23.000000	5.056000	0.485000	1408387333	8310218	226834823	443136321	558781581	4144405	
3.843750	blackscholes	1	518	23.000000	5.056000	0.565000	1419575590	8198423	226498642	442251429	557801910	4042488	
3.906250	blackscholes	1	518	23.000000	5.040000	0.564000	1418149389	8187679	227047376	443142690	558441751	4099875	
4.109375	blackscholes	1	518	23.000000	5.056000	0.566000	1408540519	8185496	224434318	438747912	553876563	4006070	
3.093750	blackscholes	1	614	23.000000	5.048000	0.605000	1422915575	8087446	225417552	440097254	554399973	4029427	
3.343750	blackscholes	1	614	23.000000	5.048000	0.605000	1428189768	8163426	225675459	441420834	555722285	4044678	
3.906250	blackscholes	1	614	24.000000	5.048000	0.605000	1426654393	8110737	225834660	440826846	555077263	3986221	
3.687500	blackscholes	1	710	24.000000	5.048000	0.686000	1432494406	8079340	224625035	439147391	552814496	4029869	
3.781250	blackscholes	1	710	24.000000	5.048000	0.686000	1439413038	8182746	225565507	441204148	555453470	4006784	
3.656250	blackscholes	1	710	23.000000	5.048000	0.686000	1438854580	8134285	225241638	440131814	554378443	4012333	
2.968750	blackscholes	1	921	24.000000	5.040000	0.806000	1474815698	8051360	227017569	443310303	557730472	4043817	
3.000000	blackscholes	1	921	24.000000	5.040000	0.806000	1465453956	8045314	225116441	439772756	552938266	3947480	
2.968750	blackscholes	1	921	24.000000	5.040000	0.846000	1462533995	8033605	225094512	439680916	553083785	3960237	
4.000000	blackscholes	1	1036	24.000000	5.040000	0.927000	1479922796	8003114	225048716	439615215	552471912	3988264	
3.031250	blackscholes	1	1036	24.000000	5.040000	0.927000	1469712853	8014929	223001059	436124225	550133250	3922711	
3.375000	blackscholes	1	1036	24.000000	5.048000	0.848000	1464217310	7991532	222848167	435315754	548958065	3887663	
2.843750	blackscholes	1	1132	24.000000	5.048000	0.848000	1490120952	8068113	224393201	438704023	551911866	3969292	
3.218750	blackscholes	1	1132	24.000000	5.048000	0.927000	1495730599	8075940	225309190	439858417	553614157	4010089	
3.062500	blackscholes	1	1132	24.000000	5.040000	0.927000	1492323832	8082680	226005153	440963538	555380057	4018447	
3.093750	blackscholes	1	1224	25.000000	5.040000	1.088000	1507918998	8056046	225261429	439970764	553549481	4016754	
2.781250	blackscholes	1	1224	25.000000	5.032000	1.207000	1498095791	7986617	223420773	436838781	549872806	3952057	
3.250000	blackscholes	1	1224	25.000000	5.040000	1.088000	1512823203	8028402	226699111	442077656	555705094	4032998	
2.468750	blackscholes	1	1428	25.000000	5.032000	1.328000	1536410437	7940232	225525151	440413050	552547440	3968701	
2.562500	blackscholes	1	1428	25.000000	5.032000	1.328000	1537100224	7956652	224870036	439228328	552122366	4032865	
2.593750	blackscholes	1	1428	25.000000	5.032000	1.288000	1534630603	8033035	225081462	439282852	553002187	4007736	
2.500000	blackscholes	1	1479	25.000000	5.024000	1.366000	1540014322	7957457	223859558	437356159	550170816	3946213	
2.812500	blackscholes	1	1479	25.000000	5.024000	1.406000	1544157375	7955867	224793667	438986648	552507140	3966223	
2.718750	blackscholes	1	1479	25.000000	5.024000	1.286000	1535259753	8004789	223320808	436722821	549904756	3960603	
37.500000	bodytrack	1	102	24.000000	5.064000	0.243000	1692886895	9392858	277282886	547198326	691062254	4903715	
13.156250	bodytrack	1	102	25.000000	5.064000	0.202000	1691491950	9383276	277046593	546627546	689830956	4987286	
16.187500	bodytrack	1	102	25.000000	5.064000	0.243000	1706569460	9517663	275924951	545002016	690319610	4912874	
8.593750	bodytrack	1	204	25.000000	5.064000	0.283000	1658108538	8981674	274204034	539536783	678366998	4662988	
7.593750	bodytrack	1	204	25.000000	5.064000	0.283000	1651836110	8844902	274609475	540348876	678005839	4604017	
6.937500	bodytrack	1	204	25.000000	5.064000	0.283000	1627383573	8835235	270425397	533215275	670207815	4564618	
6.125000	bodytrack	1	307	25.000000	5.064000	0.324000	1626895373	8685440	269472892	529821115	666278643	4459312	
5.406250	bodytrack	1	307	25.000000	5.072000	0.324000	1657309155	8793222	275194125	540129707	677710786	4586532	
5.406250	bodytrack	1	307	25.000000	5.064000	0.324000	1640619018	8659549	272799809	535583254	670842149	4487105	
5.031250	bodytrack	1	403	26.000000	5.064000	0.364000	1636128336	8581008	270551083	531506272	666584161	4342136	
4.593750	bodytrack	1	403	25.000000	5.064000	0.364000	1646125529	8692836	272133700	534213628	669339237	4413575	
4.593750	bodytrack	1	403	26.000000	5.064000	0.364000	1645259938	8677714	271405070	533480410	669088868	4431786	
