#Timestamp	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	Energy[J]	Run Duration (s)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE	L1D_TLB_REFILL	INST_RETIRED	EXC_TAKEN	EXC_RETURN	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB	L2D_CACHE	L2D_CACHE_REFILL	L2D_CACHE_WB	BUS_ACCESS	INST_SPEC	TTBR_WRITE_RETIRED	BUS_CYCLES	L1D_CACHE_LD	L1D_CACHE_ST	L1D_CACHE_REFILL_LD	L1D_CACHE_REFILL_ST	L1D_CACHE_WB_VICTIM	L1D_CACHE_WB_CLEAN	L1D_CACHE_INVAL	L1D_TLB_REFILL_LD	L1D_TLB_REFILL_ST	L2D_CACHE_LD	L2D_CACHE_ST	L2D_CACHE_REFILL_LD	L2D_CACHE_REFILL_ST	L2D_CACHE_WB_VICTIM	BUS_ACCESS_LD	BUS_ACCESS_ST	BUS_ACCESS_NOT_SHARED	BUS_ACCESS_NORMAL	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC	ST_SPEC	LDST_SPEC	DP_SPEC	ASE_SPEC	VFP_SPEC	PC_WRITE_SPEC	BR_IMMED_SPEC	BR_RETURN_SPEC	BR_INDIRECT_SPEC	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_SVC	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_SMC	0RC_LD_SPEC	0RC_ST_SPEC
1	blackscholes	1	102	36	5.072	0.243	3.846234375	15.828125	1446561541	15195698	2024790	11833009	453847136	5112272	1085557211	127612	127612	8940007	231684691	455212583	578454699	4557811	51114896	6758147	1416744	38121751	1384803632	1813728	1455589081	259538993	195609610	9627731	1957678	4364636	159234	62627	4656263	570353	37224117	13392029	5327539	1040586	1360754	26175386	10844600	37019986	36990429	31811	257202919	194340849	942784	66316	1366225	3733879	3663561	226	300393586	151510824	457432251	658913572	2090209	51479	232737642	202739045	25129615	29962717	1873782	167331	3340626	35541	9807	77023	4678	347	540135	2556180
2	blackscholes	2	102	36	5.064	0.283	4.038940625	14.271875	1466413491	15130519	2053926	11726199	458924720	5135842	1089648003	128297	128297	8956755	230155256	453142445	576027990	4475453	50667586	6550560	1372057	37043516	1396325052	1815140	1462537925	262117075	194740902	9655338	1936718	4327677	158718	65995	4646638	571091	37136311	13348414	5487792	1059459	1364632	26000797	10780291	36781088	36749714	31170	259816232	196000207	1056285	66646	1012019	3766599	3695629	210	301480617	150794035	454722855	654798848	2071534	52068	232836899	202826024	25155987	29974995	1876523	168463	3443261	35541	9789	77616	4611	350	538029	2620453
3	blackscholes	3	102	35	5.064	0.243	4.039875	16.625	1442464310	15054341	2033301	11529543	451492488	5171968	1084307430	127843	127843	8949055	230469680	452888412	576503100	4446493	50645231	6434611	1366471	36483586	1389712475	1813660	1457186298	260884620	194595109	9639795	1901558	4302356	152888	59116	4550912	564468	36848763	13347117	5276286	1027926	1367791	25501078	10447095	35948173	35916850	31572	261647331	197482717	1168373	67264	1236846	3824161	3754720	198	302945622	149295139	450763295	649014522	2079842	51579	230907888	201247912	24815135	29624099	1870835	167325	3383214	35527	10120	77668	4763	334	538136	2618365
4	blackscholes	1	204	36	5.056	0.405	2.72109375	6.71875	1408653211	13252209	1807830	10968953	445452114	4977839	1063383427	125062	125062	8514445	228238406	446985827	565040764	4211618	46504126	5806052	1325631	33699793	1360529338	1811208	1418521114	255687030	191006881	9053517	1851387	4086237	133420	39727	4441878	549645	33836500	12765522	4743748	1006391	1316535	23079158	10372352	33451510	33435033	15751	257670901	194302433	1157296	67430	1004697	3821382	3761366	155	298003910	146030211	440453703	633804743	2074025	51498	227448607	198328432	24324431	29084316	1857704	163805	3445441	35541	9481	77066	2326	332	495485	2585076
5	blackscholes	2	204	36	5.056	0.404	3.1120625	7.703125	1393451323	12984564	1795348	10675633	441885549	4987530	1069833009	125758	125758	8579391	227037916	444618291	562859379	4149568	46028911	5575406	1319722	32657576	1351656487	1807952	1404253531	254156905	191271606	9089468	1862627	4091565	134140	37684	4556106	562398	33928751	12995323	4444417	972349	1291640	22053256	10262277	32315533	32299213	14774	254199336	191784490	1288727	66162	1357032	3801653	3741145	126	297180959	147665903	445349353	641641738	2077334	51533	229270636	199891923	24576789	29342833	1848966	161979	3331792	35541	10088	77307	2575	327	491907	2507205
6	blackscholes	3	204	36	5.064	0.405	3.018515625	7.453125	1409404104	13178542	1796196	10793944	446070462	4952275	1071885244	125731	125731	8539972	228311377	447235962	566377788	4229450	46936405	5828764	1327232	33777064	1351547716	1807188	1409027064	254052546	190876013	9014850	1857687	4067185	135754	38731	4526518	556201	33841799	12743256	4726424	997154	1312322	23427092	10449301	33876393	33860571	17282	254785802	192258355	1291624	65863	1350968	3764168	3704636	187	296050033	148026714	446783988	644425997	2089095	51541	227079072	198034045	24249781	29009149	1852029	163010	3380023	35544	10141	77655	2506	334	498181	2690103
7	blackscholes	1	307	36	5.048	0.484	3.2443125	6.703125	1400304984	12543586	1736061	10532990	441389070	4959473	1069381272	125840	125840	8375438	226787903	443660044	560683153	4099747	44623238	5274475	1288167	31324360	1367152852	1812772	1428375300	257452628	192607733	8990448	1799902	4042959	130858	32290	4455064	545859	32235745	12297599	4429323	997388	1307430	21268059	10267846	31535905	31525404	11649	253827091	191437972	931267	67348	1223830	3721826	3665123	195	293798686	146099434	440356495	634243622	2070400	51403	226664445	197683933	24205312	28944656	1845927	162746	3420568	35541	9827	77014	1789	330	478849	2616153
8	blackscholes	2	307	36	5.056	0.444	2.3518125	5.296875	1396662009	12692718	1744536	10655453	439452290	4916556	1064433378	125064	125064	8436842	225680072	442004321	558509961	4061412	44737287	5392573	1309758	32005384	1340973891	1805388	1402682247	252347910	190711534	8773208	1818179	3989311	130550	29942	4480906	552913	32435560	12452768	4461951	982926	1309449	21685583	10265621	31951204	31940817	10911	252820356	190733269	1154220	66605	1222999	3692546	3635177	153	292736524	145631114	438908428	631900095	2091375	51919	228169404	198940568	24450086	29192978	1848442	163531	3393401	35541	9814	77335	1767	328	480418	2565662
9	blackscholes	3	307	36	5.056	0.444	2.344875	5.28125	1401863096	12426733	1731785	10545249	442319129	4909235	1060814977	124952	124952	8403702	227561415	445437154	562023307	4157058	44874241	5437346	1314661	32170410	1343169537	1807484	1404240411	252838673	189011656	8768239	1825443	3963782	130123	31138	4498181	548607	32637281	12444558	4469648	995294	1302383	21652391	10227991	31880382	31869002	11569	252403939	190574246	1156557	66717	1104911	3756555	3699417	175	294443626	146526741	441732676	636304274	2080069	51616	227587121	198504964	24304937	29046286	1846050	161468	3387798	35535	11123	77584	1864	327	476283	2520418
10	blackscholes	1	403	36	5.056	0.525	2.321484375	4.421875	1403383564	12321717	1696495	10445602	440972573	4899010	1056821784	124285	124285	8296410	225356142	441030393	556252753	4015056	44003149	5068308	1293994	30555298	1332781420	1806604	1403481511	250765420	188947191	8689095	1776091	3906347	124068	25371	4450520	545488	31632514	12307989	4122015	964273	1287804	20426184	10237127	30663311	30654355	8508	252384212	190359756	932442	66617	1348729	3632997	3577200	131	289523339	146936886	443454458	639264426	2080870	53518	225960177	197137831	24056057	28786476	1845307	161594	3541380	35527	9807	77293	1242	331	471702	2575274
